Datetime;Price;Source;Tag;Note;Link
2024-07-08 00:00:00;400;planify;;;
2024-08-09 00:00:00;425;planify;;;
2024-09-25 00:00:00;500;planify;;;
2024-11-02 00:00:00;425;planify;;;
2024-11-26 00:00:00;414.57;planify;;;
2024-12-18 00:00:00;374;planify;;;
2025-01-09 00:00:00;325;planify;;;
2025-02-10 00:00:00;335;planify;;;
2025-04-07 00:00:00;178;planify;;;
2025-04-26 00:00:00;240;planify;;;
2025-05-11 00:00:00;215;planify;;;
2025-05-26 00:00:00;190;planify;;;
2025-06-08 00:00:00;210;planify;;;
2025-06-24 00:00:00;215;planify;;;
2025-07-09 00:00:00;178;planify;;;
2025-07-24 00:00:00;138;planify;;;
2025-08-05 00:00:00;138;planify;;;
2025-08-19 00:00:00;118;planify;;;
2025-08-31 00:00:00;110;planify;;;
2025-09-16 00:00:00;90;planify;;;
2025-10-02 00:00:00;84;planify;;;
2025-10-15 00:00:00;76.5;planify;;;
2025-10-28 00:00:00;98.4;planify;;;
2025-11-08 00:00:00;185;planify;;;
2025-11-21 00:00:00;146;planify;;;
2025-12-04 00:00:00;120;planify;;;
2025-12-16 00:00:00;95;planify;;;
2025-12-28 00:00:00;91;planify;;;
2026-01-10 00:00:00;83.5;planify;;;
2026-01-24 00:00:00;81.93;planify;;;
2026-04-02 00:00:00;59;planify;;;
2026-04-23 00:00:00;56.6;planify;;;
