Datetime;Price;Source;Tag;Note;Link
2023-04-01 00:00:00;26;planify;;;
2023-09-10 00:00:00;24;planify;;;
2023-12-09 00:00:00;24;planify;;;
2024-03-02 00:00:00;22;planify;;;
2024-05-13 00:00:00;28;planify;;;
2024-07-16 00:00:00;30;planify;;;
2024-08-31 00:00:00;35;planify;;;
2024-10-24 00:00:00;42;planify;;;
2024-11-22 00:00:00;40.7;planify;;;
2024-12-20 00:00:00;42;planify;;;
2025-01-15 00:00:00;35;planify;;;
2025-03-04 00:00:00;33;planify;;;
2025-04-20 00:00:00;30;planify;;;
2025-05-08 00:00:00;40;planify;;;
2025-05-26 00:00:00;40;planify;;;
2025-06-12 00:00:00;40;planify;;;
2025-06-30 00:00:00;41;planify;;;
2025-07-18 00:00:00;32;planify;;;
2025-08-03 00:00:00;32;planify;;;
2025-08-19 00:00:00;32;planify;;;
2025-09-02 00:00:00;32;planify;;;
2025-09-21 00:00:00;32;planify;;;
2025-10-10 00:00:00;32;planify;;;
2025-11-07 00:00:00;29;planify;;;
2025-11-22 00:00:00;29;planify;;;
2025-11-28 00:00:00;25.9;planify;;;
2025-12-08 00:00:00;25.9;planify;;;
2025-12-22 00:00:00;26;planify;;;
2026-01-06 00:00:00;26;planify;;;
2026-01-22 00:00:00;23;planify;;;
2026-04-11 00:00:00;24;planify;;;
2026-04-23 00:00:00;24;planify;;;
