Datetime;Price;Source;Tag;Note;Link
2022-06-08 00:00:00;1100;planify;;;
2022-12-03 00:00:00;885;planify;;;
2023-06-12 00:00:00;754;planify;;;
2023-10-28 00:00:00;969;planify;;;
2024-01-24 00:00:00;1295;planify;;;
2024-04-19 00:00:00;1410;planify;;;
2024-06-16 00:00:00;1440;planify;;;
2024-08-14 00:00:00;1470;planify;;;
2024-10-11 00:00:00;1650;planify;;;
2024-11-16 00:00:00;1630;planify;;;
2024-12-16 00:00:00;1680;planify;;;
2025-01-13 00:00:00;1730;planify;;;
2025-03-03 00:00:00;1785;planify;;;
2025-04-21 00:00:00;1760;planify;;;
2025-05-11 00:00:00;1650;planify;;;
2025-05-29 00:00:00;1807;planify;;;
2025-06-16 00:00:00;1807;planify;;;
2025-07-05 00:00:00;1807;planify;;;
2025-07-24 00:00:00;1650;planify;;;
2025-08-09 00:00:00;1650;planify;;;
2025-08-25 00:00:00;1430;planify;;;
2025-09-13 00:00:00;1430;planify;;;
2025-10-03 00:00:00;1430;planify;;;
2025-10-20 00:00:00;1382;planify;;;
2025-11-03 00:00:00;1372;planify;;;
2025-11-19 00:00:00;1325;planify;;;
2025-12-05 00:00:00;1060;planify;;;
2025-12-20 00:00:00;1170;planify;;;
2026-01-05 00:00:00;980;planify;;;
2026-01-23 00:00:00;980;planify;;;
2026-04-23 00:00:00;855;planify;;;
