Datetime;Price;Source;Tag;Note;Link
2024-12-30 00:00:00;1540;planify;;;
2025-01-03 00:00:00;1540;planify;;;
2025-01-25 00:00:00;1700;planify;;;
2025-02-28 00:00:00;3850;planify;;;
2025-04-12 00:00:00;2950.02;planify;;;
2025-04-27 00:00:00;3025;planify;;;
2025-05-10 00:00:00;2890;planify;;;
2025-05-23 00:00:00;2890;planify;;;
2025-06-03 00:00:00;2890;planify;;;
2025-06-16 00:00:00;2890;planify;;;
2025-06-28 00:00:00;2730;planify;;;
2025-07-11 00:00:00;2575;planify;;;
2025-08-03 00:00:00;2255;planify;;;
2025-08-14 00:00:00;2155;planify;;;
2025-08-25 00:00:00;1975;planify;;;
2025-09-05 00:00:00;1843;planify;;;
2025-09-10 00:00:00;1737;planify;;;
2025-09-19 00:00:00;1737;planify;;;
2025-10-02 00:00:00;1737;planify;;;
2025-10-14 00:00:00;1737;planify;;;
2025-10-24 00:00:00;1369;planify;;;
2025-11-03 00:00:00;1369;planify;;;
2025-11-13 00:00:00;1369;planify;;;
2025-11-24 00:00:00;1292;planify;;;
2025-12-05 00:00:00;1292;planify;;;
2025-12-15 00:00:00;1125;planify;;;
2025-12-26 00:00:00;1080;planify;;;
2026-01-05 00:00:00;1080;planify;;;
2026-01-16 00:00:00;990;planify;;;
2026-01-30 00:00:00;990;planify;;;
2026-04-20 00:00:00;731;planify;;;
2026-04-23 00:00:00;731;planify;;;
