Datetime;Price;Source;Tag;Note;Link
2021-06-17 00:00:00;176.6;planify;;;
2021-11-07 00:00:00;266;planify;;;
2022-05-16 00:00:00;237;planify;;;
2022-11-30 00:00:00;236;planify;;;
2023-07-13 00:00:00;234;planify;;;
2023-11-07 00:00:00;220;planify;;;
2024-02-08 00:00:00;209;planify;;;
2024-05-05 00:00:00;265;planify;;;
2024-07-18 00:00:00;330;planify;;;
2024-09-08 00:00:00;340;planify;;;
2024-11-02 00:00:00;370;planify;;;
2024-12-04 00:00:00;345.4;planify;;;
2025-01-03 00:00:00;345;planify;;;
2025-02-14 00:00:00;345;planify;;;
2025-04-16 00:00:00;330;planify;;;
2025-05-08 00:00:00;355;planify;;;
2025-05-28 00:00:00;322;planify;;;
2025-06-16 00:00:00;322;planify;;;
2025-07-07 00:00:00;322;planify;;;
2025-07-27 00:00:00;322;planify;;;
2025-08-13 00:00:00;322;planify;;;
2025-08-30 00:00:00;322;planify;;;
2025-09-20 00:00:00;322;planify;;;
2025-10-11 00:00:00;422;planify;;;
2025-10-28 00:00:00;443;planify;;;
2025-11-12 00:00:00;443;planify;;;
2025-11-30 00:00:00;400;planify;;;
2025-12-16 00:00:00;389;planify;;;
2026-01-02 00:00:00;410;planify;;;
2026-01-21 00:00:00;410;planify;;;
2026-04-17 00:00:00;446;planify;;;
2026-04-23 00:00:00;446;planify;;;
