Datetime;Price;Source;Tag;Note;Link
2021-05-01 00:00:00;210;planify;;;
2021-11-07 00:00:00;205;planify;;;
2022-05-16 00:00:00;200;planify;;;
2022-11-30 00:00:00;195;planify;;;
2023-07-13 00:00:00;189;planify;;;
2023-11-06 00:00:00;204;planify;;;
2024-02-09 00:00:00;247;planify;;;
2024-05-05 00:00:00;300;planify;;;
2024-07-17 00:00:00;325;planify;;;
2024-09-08 00:00:00;475;planify;;;
2024-11-02 00:00:00;515;planify;;;
2024-12-04 00:00:00;479.85;planify;;;
2025-01-04 00:00:00;485;planify;;;
2025-02-14 00:00:00;475;planify;;;
2025-04-17 00:00:00;425;planify;;;
2025-05-08 00:00:00;425;planify;;;
2025-05-28 00:00:00;420;planify;;;
2025-06-17 00:00:00;485;planify;;;
2025-07-07 00:00:00;468;planify;;;
2025-07-27 00:00:00;515;planify;;;
2025-08-13 00:00:00;506;planify;;;
2025-08-30 00:00:00;500;planify;;;
2025-09-21 00:00:00;494;planify;;;
2025-10-11 00:00:00;484;planify;;;
2025-10-28 00:00:00;484;planify;;;
2025-11-13 00:00:00;484;planify;;;
2025-12-01 00:00:00;478;planify;;;
2025-12-17 00:00:00;470;planify;;;
2026-01-03 00:00:00;470;planify;;;
2026-01-21 00:00:00;470;planify;;;
2026-04-21 00:00:00;462;planify;;;
2026-04-23 00:00:00;462;planify;;;
