Datetime;Price;Source;Tag;Note;Link
2021-05-01 00:00:00;10000;planify;;;
2021-11-07 00:00:00;19000;planify;;;
2022-05-16 00:00:00;15700;planify;;;
2022-11-30 00:00:00;12000;planify;;;
2023-07-13 00:00:00;12075;planify;;;
2023-10-27 00:00:00;10815;planify;;;
2024-02-09 00:00:00;10750;planify;;;
2024-05-05 00:00:00;11100;planify;;;
2024-07-17 00:00:00;11685;planify;;;
2024-09-07 00:00:00;11790;planify;;;
2024-11-01 00:00:00;12000;planify;;;
2024-12-04 00:00:00;10919.59;planify;;;
2025-01-03 00:00:00;11025;planify;;;
2025-02-13 00:00:00;10650;planify;;;
2025-04-16 00:00:00;10120;planify;;;
2025-05-08 00:00:00;10000;planify;;;
2025-05-28 00:00:00;10180;planify;;;
2025-06-16 00:00:00;11660;planify;;;
2025-07-07 00:00:00;10920;planify;;;
2025-07-27 00:00:00;10605;planify;;;
2025-08-13 00:00:00;10500;planify;;;
2025-08-30 00:00:00;10400;planify;;;
2025-09-20 00:00:00;10535;planify;;;
2025-10-11 00:00:00;10401;planify;;;
2025-10-28 00:00:00;9917;planify;;;
2025-11-12 00:00:00;9568;planify;;;
2025-11-30 00:00:00;9299;planify;;;
2025-12-16 00:00:00;9450;planify;;;
2026-01-02 00:00:00;9200;planify;;;
2026-01-21 00:00:00;9400;planify;;;
2026-04-17 00:00:00;9135;planify;;;
2026-04-23 00:00:00;9135;planify;;;
