Datetime;Price;Source;Tag;Note;Link
2021-05-01 00:00:00;1130;planify;;;
2021-11-07 00:00:00;1100;planify;;;
2022-05-16 00:00:00;900;planify;;;
2022-11-30 00:00:00;750;planify;;;
2023-07-13 00:00:00;1170;planify;;;
2023-10-27 00:00:00;1260;planify;;;
2024-02-09 00:00:00;1470;planify;;;
2024-05-05 00:00:00;1715;planify;;;
2024-07-17 00:00:00;2090;planify;;;
2024-09-07 00:00:00;2010;planify;;;
2024-10-31 00:00:00;2135;planify;;;
2024-12-04 00:00:00;2060.1;planify;;;
2025-01-03 00:00:00;2035;planify;;;
2025-02-13 00:00:00;1840;planify;;;
2025-04-16 00:00:00;1315;planify;;;
2025-05-08 00:00:00;1315;planify;;;
2025-05-28 00:00:00;1485;planify;;;
2025-06-16 00:00:00;2200;planify;;;
2025-07-07 00:00:00;1660;planify;;;
2025-07-27 00:00:00;1522;planify;;;
2025-08-13 00:00:00;1522;planify;;;
2025-08-30 00:00:00;1365;planify;;;
2025-09-20 00:00:00;1420;planify;;;
2025-10-11 00:00:00;1403;planify;;;
2025-10-28 00:00:00;1403;planify;;;
2025-11-12 00:00:00;1403;planify;;;
2025-11-30 00:00:00;1403;planify;;;
2025-12-16 00:00:00;1403;planify;;;
2026-01-02 00:00:00;1403;planify;;;
2026-01-21 00:00:00;1190;planify;;;
2026-04-17 00:00:00;1050;planify;;;
2026-04-23 00:00:00;1050;planify;;;
