Datetime;Price;Source;Tag;Note;Link
2021-05-01 00:00:00;12;planify;;;
2021-11-07 00:00:00;10.7;planify;;;
2022-05-16 00:00:00;8;planify;;;
2022-11-30 00:00:00;7;planify;;;
2023-07-13 00:00:00;5.7;planify;;;
2023-10-27 00:00:00;6;planify;;;
2024-02-09 00:00:00;5.5;planify;;;
2024-05-05 00:00:00;5.5;planify;;;
2024-07-17 00:00:00;4.3;planify;;;
2024-09-08 00:00:00;4.4;planify;;;
2024-11-01 00:00:00;4.5;planify;;;
2024-12-04 00:00:00;4.2;planify;;;
2025-01-03 00:00:00;4.75;planify;;;
2025-02-13 00:00:00;4.75;planify;;;
2025-04-16 00:00:00;4;planify;;;
2025-05-08 00:00:00;3.8;planify;;;
2025-05-28 00:00:00;3.38;planify;;;
2025-06-16 00:00:00;8.3;planify;;;
2025-07-07 00:00:00;6.25;planify;;;
2025-07-27 00:00:00;4.8;planify;;;
2025-08-13 00:00:00;4.8;planify;;;
2025-08-30 00:00:00;4.8;planify;;;
2025-09-20 00:00:00;3.79;planify;;;
2025-10-11 00:00:00;3.79;planify;;;
2025-10-28 00:00:00;3.79;planify;;;
2025-11-12 00:00:00;3.79;planify;;;
2025-11-30 00:00:00;3.79;planify;;;
2025-12-16 00:00:00;3.7;planify;;;
2026-01-02 00:00:00;3.49;planify;;;
2026-01-21 00:00:00;3.3;planify;;;
2026-04-17 00:00:00;2.48;planify;;;
2026-04-23 00:00:00;2.48;planify;;;
