Datetime;Price;Source;Tag;Note;Link
2025-09-19 00:00:00;522.5;planify;;;
2025-09-25 00:00:00;500;planify;;;
2025-09-30 00:00:00;500;planify;;;
2025-10-05 00:00:00;500;planify;;;
2025-10-10 00:00:00;500;planify;;;
2025-10-15 00:00:00;500;planify;;;
2025-10-20 00:00:00;500;planify;;;
2025-10-24 00:00:00;500;planify;;;
2025-10-29 00:00:00;500;planify;;;
2025-11-01 00:00:00;500;planify;;;
2025-11-06 00:00:00;500;planify;;;
2025-11-10 00:00:00;500;planify;;;
2025-11-15 00:00:00;500;planify;;;
2025-11-19 00:00:00;500;planify;;;
2025-11-24 00:00:00;500;planify;;;
2025-11-29 00:00:00;500;planify;;;
2025-12-04 00:00:00;500;planify;;;
2025-12-09 00:00:00;500;planify;;;
2025-12-13 00:00:00;500;planify;;;
2025-12-17 00:00:00;500;planify;;;
2025-12-21 00:00:00;500;planify;;;
2025-12-26 00:00:00;500;planify;;;
2025-12-31 00:00:00;500;planify;;;
2026-01-04 00:00:00;500;planify;;;
2026-01-09 00:00:00;500;planify;;;
2026-01-13 00:00:00;500;planify;;;
2026-01-18 00:00:00;500;planify;;;
2026-01-24 00:00:00;500;planify;;;
2026-02-01 00:00:00;500;planify;;;
2026-02-23 00:00:00;500;planify;;;
2026-04-12 00:00:00;500;planify;;;
2026-04-23 00:00:00;500;planify;;;
