Datetime;Price;Source;Tag;Note;Link
2023-05-27 00:00:00;2060;planify;;;
2023-10-15 00:00:00;3080;planify;;;
2024-01-07 00:00:00;2750;planify;;;
2024-03-27 00:00:00;2750;planify;;;
2024-05-28 00:00:00;3300;planify;;;
2024-07-28 00:00:00;3740;planify;;;
2024-09-14 00:00:00;3630;planify;;;
2024-11-01 00:00:00;26400;planify;;;
2024-11-29 00:00:00;19800;planify;;;
2024-12-27 00:00:00;22000;planify;;;
2025-01-24 00:00:00;20130;planify;;;
2025-03-19 00:00:00;17325;planify;;;
2025-04-24 00:00:00;17325;planify;;;
2025-05-12 00:00:00;17325;planify;;;
2025-05-29 00:00:00;18975;planify;;;
2025-06-15 00:00:00;18975;planify;;;
2025-07-02 00:00:00;18975;planify;;;
2025-07-21 00:00:00;16229.85;planify;;;
2025-08-04 00:00:00;16800;planify;;;
2025-08-20 00:00:00;16650;planify;;;
2025-09-04 00:00:00;16500;planify;;;
2025-09-23 00:00:00;16565;planify;;;
2025-10-11 00:00:00;16565;planify;;;
2025-10-26 00:00:00;16880;planify;;;
2025-11-08 00:00:00;16880;planify;;;
2025-11-23 00:00:00;16880;planify;;;
2025-12-08 00:00:00;16774;planify;;;
2025-12-22 00:00:00;16774;planify;;;
2026-01-06 00:00:00;16450;planify;;;
2026-01-22 00:00:00;16450;planify;;;
2026-04-09 00:00:00;15336.57;planify;;;
2026-04-23 00:00:00;15231.53;planify;;;
