Datetime;Price;Source;Tag;Note;Link
2025-02-28 00:00:00;145;planify;;;
2025-04-10 00:00:00;105;planify;;;
2025-04-11 00:00:00;108;planify;;;
2025-04-26 00:00:00;105;planify;;;
2025-05-08 00:00:00;105;planify;;;
2025-05-20 00:00:00;112;planify;;;
2025-05-30 00:00:00;112;planify;;;
2025-06-10 00:00:00;112;planify;;;
2025-06-23 00:00:00;132;planify;;;
2025-07-04 00:00:00;132;planify;;;
2025-07-16 00:00:00;132;planify;;;
2025-07-27 00:00:00;132;planify;;;
2025-08-06 00:00:00;132;planify;;;
2025-08-17 00:00:00;132;planify;;;
2025-08-26 00:00:00;132;planify;;;
2025-09-06 00:00:00;113;planify;;;
2025-09-19 00:00:00;100;planify;;;
2025-10-01 00:00:00;100;planify;;;
2025-10-13 00:00:00;90;planify;;;
2025-10-23 00:00:00;90;planify;;;
2025-10-31 00:00:00;90;planify;;;
2025-11-10 00:00:00;90;planify;;;
2025-11-19 00:00:00;90;planify;;;
2025-11-30 00:00:00;90;planify;;;
2025-12-10 00:00:00;90;planify;;;
2025-12-19 00:00:00;85;planify;;;
2025-12-29 00:00:00;80;planify;;;
2026-01-07 00:00:00;80;planify;;;
2026-01-18 00:00:00;80;planify;;;
2026-02-03 00:00:00;80;planify;;;
2026-04-23 00:00:00;85;planify;;;
