Datetime;Price;Source;Tag;Note;Link
2024-07-16 00:00:00;1010;planify;;;
2024-07-29 00:00:00;950;planify;;;
2024-09-11 00:00:00;945;planify;;;
2024-10-26 00:00:00;885;planify;;;
2024-11-19 00:00:00;850;planify;;;
2024-12-13 00:00:00;825;planify;;;
2025-01-05 00:00:00;850;planify;;;
2025-03-28 00:00:00;345;planify;;;
2025-04-10 00:00:00;310;planify;;;
2025-04-23 00:00:00;130;planify;;;
2025-05-09 00:00:00;95;planify;;;
2025-05-24 00:00:00;80;planify;;;
2025-06-06 00:00:00;70;planify;;;
2025-06-22 00:00:00;56;planify;;;
2025-07-07 00:00:00;50;planify;;;
2025-07-23 00:00:00;42;planify;;;
2025-08-04 00:00:00;42;planify;;;
2025-08-18 00:00:00;40;planify;;;
2025-08-30 00:00:00;32;planify;;;
2025-09-15 00:00:00;18;planify;;;
2025-10-01 00:00:00;18;planify;;;
2025-10-15 00:00:00;25;planify;;;
2025-10-28 00:00:00;25;planify;;;
2025-11-08 00:00:00;35;planify;;;
2025-11-21 00:00:00;36;planify;;;
2025-12-04 00:00:00;29;planify;;;
2025-12-16 00:00:00;29;planify;;;
2025-12-29 00:00:00;28;planify;;;
2026-01-11 00:00:00;28;planify;;;
2026-01-26 00:00:00;28;planify;;;
2026-04-14 00:00:00;16;planify;;;
2026-04-23 00:00:00;17;planify;;;
