Datetime;Price;Source;Tag;Note;Link
2021-05-01 00:00:00;15;planify;;;
2021-11-07 00:00:00;14;planify;;;
2022-05-16 00:00:00;13;planify;;;
2022-11-30 00:00:00;11.55;planify;;;
2023-07-13 00:00:00;10.62;planify;;;
2023-10-27 00:00:00;13;planify;;;
2024-02-09 00:00:00;13.9;planify;;;
2024-05-07 00:00:00;13.65;planify;;;
2024-07-17 00:00:00;14.5;planify;;;
2024-09-08 00:00:00;13.95;planify;;;
2024-11-01 00:00:00;14;planify;;;
2024-12-04 00:00:00;16.5;planify;;;
2025-01-03 00:00:00;20.75;planify;;;
2025-02-13 00:00:00;18;planify;;;
2025-04-16 00:00:00;15.09;planify;;;
2025-05-08 00:00:00;15.1;planify;;;
2025-05-28 00:00:00;16.3;planify;;;
2025-06-16 00:00:00;17.4;planify;;;
2025-07-07 00:00:00;18.5;planify;;;
2025-07-27 00:00:00;18.2;planify;;;
2025-08-13 00:00:00;16.35;planify;;;
2025-08-30 00:00:00;15.55;planify;;;
2025-09-20 00:00:00;15.05;planify;;;
2025-10-11 00:00:00;14.59;planify;;;
2025-10-28 00:00:00;13.5;planify;;;
2025-11-12 00:00:00;13.5;planify;;;
2025-11-30 00:00:00;13.1;planify;;;
2025-12-16 00:00:00;13.04;planify;;;
2026-01-02 00:00:00;12.2;planify;;;
2026-01-21 00:00:00;12.5;planify;;;
2026-04-17 00:00:00;10.65;planify;;;
2026-04-23 00:00:00;10.65;planify;;;
