Datetime;Price;Source;Tag;Note;Link
2021-05-01 00:00:00;380;planify;;;
2021-11-07 00:00:00;724;planify;;;
2022-05-16 00:00:00;700;planify;;;
2022-11-30 00:00:00;660;planify;;;
2023-07-13 00:00:00;710;planify;;;
2023-11-06 00:00:00;726;planify;;;
2024-02-09 00:00:00;940;planify;;;
2024-05-05 00:00:00;1160;planify;;;
2024-07-17 00:00:00;1160;planify;;;
2024-09-08 00:00:00;1240;planify;;;
2024-11-01 00:00:00;350;planify;;;
2024-12-04 00:00:00;1800.03;planify;;;
2025-01-03 00:00:00;1800;planify;;;
2025-02-13 00:00:00;1800;planify;;;
2025-04-16 00:00:00;1668;planify;;;
2025-05-08 00:00:00;1720;planify;;;
2025-05-28 00:00:00;2365;planify;;;
2025-06-16 00:00:00;2380;planify;;;
2025-07-07 00:00:00;2300;planify;;;
2025-07-27 00:00:00;2270;planify;;;
2025-08-13 00:00:00;2200;planify;;;
2025-08-30 00:00:00;2110;planify;;;
2025-09-20 00:00:00;2079;planify;;;
2025-10-11 00:00:00;1920;planify;;;
2025-10-28 00:00:00;1964;planify;;;
2025-11-12 00:00:00;1930;planify;;;
2025-11-30 00:00:00;1985;planify;;;
2025-12-16 00:00:00;1974;planify;;;
2026-01-02 00:00:00;2000;planify;;;
2026-01-21 00:00:00;2100;planify;;;
2026-04-17 00:00:00;1906;planify;;;
2026-04-23 00:00:00;1950;planify;;;
