Datetime;Price;Source;Tag;Note;Link
2022-06-08 00:00:00;64.12;planify;;;
2022-12-03 00:00:00;35.62;planify;;;
2023-06-12 00:00:00;32.3;planify;;;
2023-10-27 00:00:00;38;planify;;;
2024-01-24 00:00:00;35.62;planify;;;
2024-04-19 00:00:00;27.07;planify;;;
2024-06-16 00:00:00;18.52;planify;;;
2024-08-14 00:00:00;24.7;planify;;;
2024-10-11 00:00:00;28.02;planify;;;
2024-11-16 00:00:00;25.65;planify;;;
2024-12-16 00:00:00;27.55;planify;;;
2025-01-13 00:00:00;26.6;planify;;;
2025-03-03 00:00:00;25.65;planify;;;
2025-04-21 00:00:00;23.75;planify;;;
2025-05-10 00:00:00;23.27;planify;;;
2025-05-29 00:00:00;23.27;planify;;;
2025-06-16 00:00:00;21.85;planify;;;
2025-07-05 00:00:00;21.38;planify;;;
2025-07-24 00:00:00;20.43;planify;;;
2025-08-09 00:00:00;19.95;planify;;;
2025-08-25 00:00:00;23.75;planify;;;
2025-09-13 00:00:00;24.98;planify;;;
2025-10-02 00:00:00;26.12;planify;;;
2025-10-19 00:00:00;27.55;planify;;;
2025-11-03 00:00:00;28.59;planify;;;
2025-11-19 00:00:00;25.46;planify;;;
2025-12-05 00:00:00;27.07;planify;;;
2025-12-20 00:00:00;27.2;planify;;;
2026-01-05 00:00:00;28;planify;;;
2026-01-23 00:00:00;28.28;planify;;;
2026-04-23 00:00:00;23.42;planify;;;
