Datetime;Price;Source;Tag;Note;Link
2025-02-18 00:00:00;8000;planify;;;
2025-04-06 00:00:00;8520;planify;;;
2025-04-10 00:00:00;8520;planify;;;
2025-04-23 00:00:00;8300;planify;;;
2025-05-05 00:00:00;8085;planify;;;
2025-05-17 00:00:00;9660;planify;;;
2025-05-28 00:00:00;11270;planify;;;
2025-06-07 00:00:00;13200;planify;;;
2025-06-19 00:00:00;13075;planify;;;
2025-07-01 00:00:00;13075;planify;;;
2025-07-13 00:00:00;13075;planify;;;
2025-07-25 00:00:00;12915;planify;;;
2025-08-03 00:00:00;13965;planify;;;
2025-08-14 00:00:00;14650;planify;;;
2025-08-23 00:00:00;14545;planify;;;
2025-09-03 00:00:00;16000;planify;;;
2025-09-16 00:00:00;17521;planify;;;
2025-09-28 00:00:00;18400;planify;;;
2025-10-10 00:00:00;18583;planify;;;
2025-10-20 00:00:00;18321;planify;;;
2025-10-30 00:00:00;18189;planify;;;
2025-11-07 00:00:00;18189;planify;;;
2025-11-17 00:00:00;17527;planify;;;
2025-11-27 00:00:00;16688;planify;;;
2025-12-07 00:00:00;16688;planify;;;
2025-12-16 00:00:00;16452;planify;;;
2025-12-26 00:00:00;16500;planify;;;
2026-01-05 00:00:00;16950;planify;;;
2026-01-15 00:00:00;17300;planify;;;
2026-01-27 00:00:00;17914;planify;;;
2026-03-28 00:00:00;18436.25;planify;;;
2026-04-23 00:00:00;18973.75;planify;;;
