Datetime;Price;Source;Tag;Note;Link
2023-06-12 00:00:00;2050;planify;;;
2023-10-19 00:00:00;3475;planify;;;
2024-01-12 00:00:00;4750;planify;;;
2024-04-01 00:00:00;4200;planify;;;
2024-05-31 00:00:00;4450;planify;;;
2024-07-29 00:00:00;3625;planify;;;
2024-09-17 00:00:00;3750;planify;;;
2024-11-02 00:00:00;3000;planify;;;
2024-11-30 00:00:00;550.2;planify;;;
2024-12-27 00:00:00;515;planify;;;
2025-01-26 00:00:00;80.3;planify;;;
2025-03-25 00:00:00;56;planify;;;
2025-04-25 00:00:00;55;planify;;;
2025-05-13 00:00:00;54;planify;;;
2025-05-30 00:00:00;118;planify;;;
2025-06-16 00:00:00;117;planify;;;
2025-07-03 00:00:00;96;planify;;;
2025-07-22 00:00:00;81;planify;;;
2025-08-05 00:00:00;78;planify;;;
2025-08-21 00:00:00;75;planify;;;
2025-09-05 00:00:00;69;planify;;;
2025-09-24 00:00:00;72;planify;;;
2025-10-12 00:00:00;68;planify;;;
2025-10-27 00:00:00;71;planify;;;
2025-11-09 00:00:00;68;planify;;;
2025-11-24 00:00:00;78;planify;;;
2025-12-09 00:00:00;67;planify;;;
2025-12-23 00:00:00;64;planify;;;
2026-01-07 00:00:00;64;planify;;;
2026-01-23 00:00:00;83;planify;;;
2026-04-17 00:00:00;56.1;planify;;;
2026-04-23 00:00:00;57;planify;;;
