Datetime;Price;Source;Tag;Note;Link
2024-05-29 00:00:00;285;planify;;;
2024-07-23 00:00:00;370;planify;;;
2024-08-31 00:00:00;365;planify;;;
2024-10-16 00:00:00;390;planify;;;
2024-11-14 00:00:00;325;planify;;;
2024-12-08 00:00:00;290.3;planify;;;
2024-12-31 00:00:00;343;planify;;;
2025-01-26 00:00:00;310;planify;;;
2025-03-14 00:00:00;280;planify;;;
2025-04-20 00:00:00;265;planify;;;
2025-05-06 00:00:00;265;planify;;;
2025-05-21 00:00:00;240;planify;;;
2025-06-04 00:00:00;330;planify;;;
2025-06-20 00:00:00;300;planify;;;
2025-07-05 00:00:00;290;planify;;;
2025-07-21 00:00:00;280;planify;;;
2025-08-02 00:00:00;280;planify;;;
2025-08-16 00:00:00;285;planify;;;
2025-08-29 00:00:00;300;planify;;;
2025-09-13 00:00:00;355;planify;;;
2025-09-29 00:00:00;345;planify;;;
2025-10-14 00:00:00;372;planify;;;
2025-10-27 00:00:00;370;planify;;;
2025-11-07 00:00:00;370;planify;;;
2025-11-20 00:00:00;332;planify;;;
2025-12-03 00:00:00;300;planify;;;
2025-12-15 00:00:00;300;planify;;;
2025-12-28 00:00:00;300;planify;;;
2026-01-10 00:00:00;290;planify;;;
2026-01-25 00:00:00;290;planify;;;
2026-04-10 00:00:00;211;planify;;;
2026-04-23 00:00:00;211;planify;;;
