Datetime;Price;Source;Tag;Note;Link
2022-05-06 00:00:00;30;wwipl;;;
2022-05-13 00:00:00;36;wwipl;;;
2022-05-14 00:00:00;39;wwipl;;;
2022-05-16 00:00:00;41;wwipl;;;
2022-05-20 00:00:00;41.2;wwipl;;;
2023-01-30 00:00:00;40;wwipl;;;
2023-02-28 00:00:00;39;wwipl;;;
2023-05-16 00:00:00;38;wwipl;;;
2023-06-20 00:00:00;39;wwipl;;;
2023-09-08 00:00:00;40;wwipl;;;
2024-01-16 00:00:00;44;wwipl;;;
2024-01-17 00:00:00;45;wwipl;;;
2024-03-20 00:00:00;48;wwipl;;;
2024-03-30 00:00:00;49;wwipl;;;
2024-09-13 00:00:00;24.5;wwipl;;;
2024-09-15 00:00:00;24.4;wwipl;;;
