Datetime;Price;Source;Tag;Note;Link
2022-07-10 00:00:00;4000;wwipl;;;
2024-08-17 00:00:00;5000;wwipl;;;
2024-08-18 00:00:00;6000;wwipl;;;
2024-08-18 00:00:00;7000;wwipl;;;
2024-08-19 00:00:00;7200;wwipl;;;
2024-08-23 00:00:00;7500;wwipl;;;
2024-08-24 00:00:00;7700;wwipl;;;
2024-08-25 00:00:00;7900;wwipl;;;
2024-11-21 00:00:00;8000;wwipl;;;
2024-12-24 00:00:00;10000;wwipl;;;
2024-12-25 00:00:00;11000;wwipl;;;
2024-12-27 00:00:00;11500;wwipl;;;
2025-01-05 00:00:00;12000;wwipl;;;
2025-01-10 00:00:00;12500;wwipl;;;
2025-01-16 00:00:00;13000;wwipl;;;
2025-01-17 00:00:00;14000;wwipl;;;
2025-01-17 00:00:00;15000;wwipl;;;
2025-01-18 00:00:00;16000;wwipl;;;
2025-01-19 00:00:00;17000;wwipl;;;
2025-01-20 00:00:00;17500;wwipl;;;
2025-04-14 00:00:00;18000;wwipl;;;
2025-09-14 00:00:00;19000;wwipl;;;
2026-03-24 00:00:00;19778;wwipl;;;
