Datetime;Price;Source;Tag;Note;Link
2022-02-05 00:00:00;800;wwipl;;;
2022-03-15 00:00:00;750;wwipl;;;
2022-03-25 00:00:00;725;wwipl;;;
2022-04-15 00:00:00;755;wwipl;;;
2022-04-20 00:00:00;760;wwipl;;;
2022-05-16 00:00:00;720;wwipl;;;
2022-06-06 00:00:00;700;wwipl;;;
2022-07-15 00:00:00;500;wwipl;;;
2022-07-18 00:00:00;400;wwipl;;;
2022-07-26 00:00:00;379;wwipl;;;
2022-08-05 00:00:00;370;wwipl;;;
2023-06-02 00:00:00;350;wwipl;;;
2023-06-13 00:00:00;355;wwipl;;;
2023-07-24 00:00:00;500;wwipl;;;
2023-07-25 00:00:00;505;wwipl;;;
2023-08-02 00:00:00;550;wwipl;;;
2023-08-03 00:00:00;750;wwipl;;;
2023-08-05 00:00:00;745;wwipl;;;
2024-07-13 00:00:00;800;wwipl;;;
2024-07-15 00:00:00;845;wwipl;;;
2024-07-15 00:00:00;900;wwipl;;;
2024-07-20 00:00:00;930;wwipl;;;
2024-09-16 00:00:00;950;wwipl;;;
2025-01-15 00:00:00;1000;wwipl;;;
2025-01-16 00:00:00;1020;wwipl;;;
2025-11-24 00:00:00;1050;wwipl;;;
2026-03-16 00:00:00;1078;wwipl;;;
