Datetime;Price;Source;Tag;Note;Link
2021-11-20 00:00:00;135;wwipl;;;
2021-11-23 00:00:00;130;wwipl;;;
2021-11-23 00:00:00;124;wwipl;;;
2021-11-24 00:00:00;120;wwipl;;;
2021-11-25 00:00:00;115;wwipl;;;
2021-11-27 00:00:00;111;wwipl;;;
2021-12-13 00:00:00;110;wwipl;;;
2021-12-22 00:00:00;119;wwipl;;;
2021-12-22 00:00:00;109;wwipl;;;
2021-12-23 00:00:00;108.5;wwipl;;;
2021-12-25 00:00:00;108;wwipl;;;
2021-12-29 00:00:00;107;wwipl;;;
2021-12-31 00:00:00;109;wwipl;;;
2022-01-04 00:00:00;108;wwipl;;;
2022-01-06 00:00:00;107;wwipl;;;
2022-01-07 00:00:00;105;wwipl;;;
2022-01-13 00:00:00;104;wwipl;;;
2022-01-17 00:00:00;101;wwipl;;;
2022-01-19 00:00:00;100;wwipl;;;
2022-01-21 00:00:00;99;wwipl;;;
2022-01-24 00:00:00;98;wwipl;;;
2022-01-27 00:00:00;95;wwipl;;;
2022-01-27 00:00:00;94;wwipl;;;
2022-02-02 00:00:00;92;wwipl;;;
2022-02-03 00:00:00;89;wwipl;;;
2022-02-04 00:00:00;84;wwipl;;;
2022-02-05 00:00:00;82;wwipl;;;
2022-02-09 00:00:00;78;wwipl;;;
2022-02-18 00:00:00;72;wwipl;;;
2022-02-21 00:00:00;71;wwipl;;;
2022-02-22 00:00:00;75;wwipl;;;
2022-02-22 00:00:00;80;wwipl;;;
2022-02-24 00:00:00;78;wwipl;;;
2022-02-25 00:00:00;75;wwipl;;;
2022-02-26 00:00:00;71;wwipl;;;
2022-03-03 00:00:00;70.7;wwipl;;;
2022-03-07 00:00:00;70;wwipl;;;
2022-03-29 00:00:00;69;wwipl;;;
2022-04-19 00:00:00;68;wwipl;;;
2022-04-26 00:00:00;67;wwipl;;;
2022-05-04 00:00:00;65;wwipl;;;
2022-05-05 00:00:00;64;wwipl;;;
2022-05-09 00:00:00;63;wwipl;;;
2022-05-11 00:00:00;62;wwipl;;;
2022-05-12 00:00:00;60;wwipl;;;
2022-05-16 00:00:00;59;wwipl;;;
2022-05-22 00:00:00;55;wwipl;;;
2022-05-25 00:00:00;54;wwipl;;;
2022-05-28 00:00:00;53;wwipl;;;
2022-05-31 00:00:00;50;wwipl;;;
2022-06-06 00:00:00;49;wwipl;;;
2022-06-08 00:00:00;49.5;wwipl;;;
2022-06-23 00:00:00;47;wwipl;;;
2022-07-04 00:00:00;46;wwipl;;;
2022-07-11 00:00:00;44;wwipl;;;
2022-07-14 00:00:00;42;wwipl;;;
2022-07-18 00:00:00;41;wwipl;;;
2022-07-26 00:00:00;40;wwipl;;;
2022-07-30 00:00:00;39;wwipl;;;
2022-08-05 00:00:00;38;wwipl;;;
2022-08-22 00:00:00;37;wwipl;;;
2022-08-29 00:00:00;36;wwipl;;;
2022-09-27 00:00:00;35;wwipl;;;
2022-11-05 00:00:00;32;wwipl;;;
2022-12-05 00:00:00;31;wwipl;;;
2022-12-29 00:00:00;29.9;wwipl;;;
2023-01-06 00:00:00;29;wwipl;;;
2023-01-30 00:00:00;27;wwipl;;;
2023-02-01 00:00:00;26;wwipl;;;
2023-02-04 00:00:00;26;wwipl;;;
2023-02-21 00:00:00;24;wwipl;;;
2023-02-27 00:00:00;24.1;wwipl;;;
2023-04-06 00:00:00;23;wwipl;;;
2023-04-13 00:00:00;22.5;wwipl;;;
2023-05-04 00:00:00;22;wwipl;;;
2023-05-31 00:00:00;21;wwipl;;;
2023-06-02 00:00:00;20.8;wwipl;;;
2023-06-12 00:00:00;20;wwipl;;;
2023-06-15 00:00:00;19.8;wwipl;;;
2023-06-20 00:00:00;19.7;wwipl;;;
2023-06-27 00:00:00;19.5;wwipl;;;
