Datetime;Price;Source;Tag;Note;Link
2019-05-31 00:00:00;256;wwipl;;;
2019-06-06 00:00:00;351;wwipl;;;
2019-06-11 00:00:00;248;wwipl;;;
2019-06-17 00:00:00;243;wwipl;;;
2019-06-23 00:00:00;242;wwipl;;;
2019-06-29 00:00:00;247;wwipl;;;
2019-06-30 00:00:00;243;wwipl;;;
2019-07-05 00:00:00;241;wwipl;;;
2019-07-10 00:00:00;239;wwipl;;;
2019-07-15 00:00:00;237;wwipl;;;
2019-07-20 00:00:00;235;wwipl;;;
2019-07-25 00:00:00;233;wwipl;;;
2019-07-30 00:00:00;231;wwipl;;;
2019-08-04 00:00:00;229;wwipl;;;
2019-08-09 00:00:00;227;wwipl;;;
2019-08-14 00:00:00;225;wwipl;;;
2019-08-19 00:00:00;223;wwipl;;;
2019-08-24 00:00:00;221;wwipl;;;
2019-08-29 00:00:00;219;wwipl;;;
2019-09-02 00:00:00;220;wwipl;;;
2019-09-07 00:00:00;221;wwipl;;;
2019-09-12 00:00:00;222;wwipl;;;
2019-09-17 00:00:00;223;wwipl;;;
2019-09-22 00:00:00;224;wwipl;;;
2019-09-27 00:00:00;225;wwipl;;;
2019-10-02 00:00:00;226;wwipl;;;
2019-10-07 00:00:00;227;wwipl;;;
2019-10-12 00:00:00;228;wwipl;;;
2019-10-17 00:00:00;229;wwipl;;;
2019-10-22 00:00:00;230;wwipl;;;
2019-10-27 00:00:00;231;wwipl;;;
2019-11-01 00:00:00;232;wwipl;;;
2019-11-06 00:00:00;234;wwipl;;;
2019-11-11 00:00:00;235;wwipl;;;
2019-11-16 00:00:00;237;wwipl;;;
2019-11-21 00:00:00;240;wwipl;;;
2019-11-26 00:00:00;243;wwipl;;;
2019-11-29 00:00:00;245;wwipl;;;
2019-12-04 00:00:00;236;wwipl;;;
2019-12-09 00:00:00;227;wwipl;;;
2019-12-14 00:00:00;218;wwipl;;;
2019-12-19 00:00:00;209;wwipl;;;
2019-12-25 00:00:00;200;wwipl;;;
2019-12-30 00:00:00;202;wwipl;;;
2020-01-04 00:00:00;204;wwipl;;;
2020-01-10 00:00:00;206;wwipl;;;
2020-01-16 00:00:00;208;wwipl;;;
2020-01-21 00:00:00;206;wwipl;;;
2020-01-27 00:00:00;204;wwipl;;;
2020-01-31 00:00:00;202;wwipl;;;
2020-02-04 00:00:00;200;wwipl;;;
2020-02-09 00:00:00;198;wwipl;;;
2020-02-14 00:00:00;196;wwipl;;;
2020-02-19 00:00:00;194;wwipl;;;
2020-02-24 00:00:00;192;wwipl;;;
2020-02-29 00:00:00;190;wwipl;;;
2020-03-05 00:00:00;188;wwipl;;;
2020-03-10 00:00:00;186;wwipl;;;
2020-03-15 00:00:00;184;wwipl;;;
2020-03-20 00:00:00;182;wwipl;;;
2020-03-26 00:00:00;180;wwipl;;;
2020-03-30 00:00:00;181;wwipl;;;
2020-04-03 00:00:00;180;wwipl;;;
2020-04-10 00:00:00;180;wwipl;;;
2020-04-17 00:00:00;178;wwipl;;;
2020-04-24 00:00:00;175;wwipl;;;
2020-05-01 00:00:00;175;wwipl;;;
2020-05-08 00:00:00;165;wwipl;;;
2020-05-15 00:00:00;160;wwipl;;;
