Datetime;Price;Source;Tag;Note;Link
2021-08-29 00:00:00;105;wwipl;;;
2021-12-28 00:00:00;110;wwipl;;;
2021-12-29 00:00:00;112;wwipl;;;
2022-01-04 00:00:00;112.5;wwipl;;;
2022-04-02 00:00:00;140;wwipl;;;
2022-04-04 00:00:00;145;wwipl;;;
2022-04-12 00:00:00;147;wwipl;;;
2023-06-07 00:00:00;140;wwipl;;;
2023-06-10 00:00:00;120;wwipl;;;
2023-06-13 00:00:00;121;wwipl;;;
2023-06-15 00:00:00;120;wwipl;;;
2023-08-14 00:00:00;125;wwipl;;;
2023-08-18 00:00:00;135;wwipl;;;
2023-08-21 00:00:00;136;wwipl;;;
2024-11-20 00:00:00;150;wwipl;;;
2024-11-21 00:00:00;160;wwipl;;;
2024-11-22 00:00:00;165;wwipl;;;
2025-04-09 00:00:00;170;wwipl;;;
