Datetime;Price;Source;Tag;Note;Link
2019-05-31 00:00:00;31;wwipl;;;
2019-06-07 00:00:00;30;wwipl;;;
2019-06-15 00:00:00;30.5;wwipl;;;
2019-06-21 00:00:00;30;wwipl;;;
2019-06-26 00:00:00;29.5;wwipl;;;
2019-06-30 00:00:00;29;wwipl;;;
2019-07-05 00:00:00;28.5;wwipl;;;
2019-07-10 00:00:00;28;wwipl;;;
2019-07-15 00:00:00;27.5;wwipl;;;
2019-07-20 00:00:00;27;wwipl;;;
2019-07-25 00:00:00;26.5;wwipl;;;
2019-07-30 00:00:00;26;wwipl;;;
2019-08-04 00:00:00;25.5;wwipl;;;
2019-08-09 00:00:00;25;wwipl;;;
2019-08-14 00:00:00;24.5;wwipl;;;
2019-08-19 00:00:00;24;wwipl;;;
2019-08-24 00:00:00;23.5;wwipl;;;
2019-08-29 00:00:00;24;wwipl;;;
2019-09-02 00:00:00;25;wwipl;;;
2019-09-08 00:00:00;25.5;wwipl;;;
2019-09-14 00:00:00;26;wwipl;;;
2019-09-20 00:00:00;26.5;wwipl;;;
2019-09-26 00:00:00;27;wwipl;;;
2019-10-02 00:00:00;27.5;wwipl;;;
2019-10-08 00:00:00;28;wwipl;;;
2019-10-14 00:00:00;28.5;wwipl;;;
2019-10-20 00:00:00;29;wwipl;;;
2019-10-26 00:00:00;29.5;wwipl;;;
2019-11-01 00:00:00;30;wwipl;;;
2019-11-07 00:00:00;30.5;wwipl;;;
2019-11-13 00:00:00;31;wwipl;;;
2019-11-19 00:00:00;31.5;wwipl;;;
2019-11-25 00:00:00;32;wwipl;;;
2019-11-29 00:00:00;33;wwipl;;;
2019-12-25 00:00:00;32;wwipl;;;
2019-12-31 00:00:00;31.5;wwipl;;;
2020-01-06 00:00:00;31;wwipl;;;
2020-01-12 00:00:00;30.5;wwipl;;;
2020-01-18 00:00:00;30;wwipl;;;
2020-01-24 00:00:00;29.5;wwipl;;;
2020-01-30 00:00:00;29;wwipl;;;
2020-02-04 00:00:00;30;wwipl;;;
2020-02-10 00:00:00;29.5;wwipl;;;
2020-02-16 00:00:00;29;wwipl;;;
2020-02-22 00:00:00;28.5;wwipl;;;
2020-02-28 00:00:00;28;wwipl;;;
2020-03-05 00:00:00;27.5;wwipl;;;
2020-03-11 00:00:00;27;wwipl;;;
2020-03-17 00:00:00;27.5;wwipl;;;
2020-03-26 00:00:00;27;wwipl;;;
2020-04-03 00:00:00;28;wwipl;;;
2020-04-10 00:00:00;27;wwipl;;;
2020-04-17 00:00:00;26;wwipl;;;
2020-04-24 00:00:00;28;wwipl;;;
2020-05-01 00:00:00;26;wwipl;;;
2020-05-08 00:00:00;26;wwipl;;;
2020-05-15 00:00:00;29;wwipl;;;
2020-05-22 00:00:00;27;wwipl;;;
2020-05-29 00:00:00;27;wwipl;;;
2020-06-05 00:00:00;29;wwipl;;;
2020-06-12 00:00:00;30;wwipl;;;
2020-06-19 00:00:00;32;wwipl;;;
2020-06-26 00:00:00;32;wwipl;;;
2020-07-03 00:00:00;33;wwipl;;;
2020-07-10 00:00:00;33;wwipl;;;
2020-07-17 00:00:00;34;wwipl;;;
2020-07-24 00:00:00;34;wwipl;;;
2020-08-01 00:00:00;48;wwipl;;;
2020-08-09 00:00:00;50;wwipl;;;
2020-08-21 00:00:00;51;wwipl;;;
2020-08-28 00:00:00;52;wwipl;;;
2020-09-04 00:00:00;52;wwipl;;;
2020-09-11 00:00:00;53;wwipl;;;
2020-09-18 00:00:00;53;wwipl;;;
2020-09-25 00:00:00;52;wwipl;;;
2020-10-02 00:00:00;49;wwipl;;;
2020-10-09 00:00:00;50;wwipl;;;
2020-10-16 00:00:00;48;wwipl;;;
2020-10-23 00:00:00;46;wwipl;;;
2020-10-30 00:00:00;48;wwipl;;;
2020-11-06 00:00:00;45;wwipl;;;
2020-11-13 00:00:00;47;wwipl;;;
2020-11-20 00:00:00;50;wwipl;;;
2020-11-27 00:00:00;52;wwipl;;;
2020-12-02 00:00:00;65;wwipl;;;
2020-12-08 00:00:00;75;wwipl;;;
2020-12-14 00:00:00;70;wwipl;;;
2020-12-21 00:00:00;68;wwipl;;;
2020-12-29 00:00:00;66;wwipl;;;
2021-01-06 00:00:00;63;wwipl;;;
2021-01-14 00:00:00;62;wwipl;;;
2021-01-21 00:00:00;59;wwipl;;;
2021-01-29 00:00:00;64;wwipl;;;
2021-02-04 00:00:00;63;wwipl;;;
2021-02-10 00:00:00;66;wwipl;;;
2021-02-16 00:00:00;71;wwipl;;;
2021-02-22 00:00:00;75;wwipl;;;
2021-02-27 00:00:00;78;wwipl;;;
2021-03-04 00:00:00;80;wwipl;;;
2021-03-10 00:00:00;77.5;wwipl;;;
2021-03-16 00:00:00;86;wwipl;;;
2021-03-22 00:00:00;80;wwipl;;;
2021-03-29 00:00:00;75;wwipl;;;
2021-04-03 00:00:00;75.5;wwipl;;;
2021-04-09 00:00:00;79;wwipl;;;
2021-04-16 00:00:00;75;wwipl;;;
2021-04-22 00:00:00;72;wwipl;;;
2021-04-28 00:00:00;75;wwipl;;;
2021-05-05 00:00:00;66;wwipl;;;
2021-05-11 00:00:00;70;wwipl;;;
2021-05-18 00:00:00;69;wwipl;;;
2021-05-24 00:00:00;68;wwipl;;;
2021-05-30 00:00:00;66;wwipl;;;
2021-06-04 00:00:00;67;wwipl;;;
2021-06-09 00:00:00;68;wwipl;;;
2021-06-15 00:00:00;69;wwipl;;;
2021-06-21 00:00:00;70;wwipl;;;
2021-06-27 00:00:00;77;wwipl;;;
2021-07-03 00:00:00;73;wwipl;;;
2021-07-09 00:00:00;79;wwipl;;;
2021-07-15 00:00:00;80;wwipl;;;
2021-07-21 00:00:00;90;wwipl;;;
2021-07-27 00:00:00;88;wwipl;;;
2021-08-01 00:00:00;95;wwipl;;;
2021-08-07 00:00:00;90;wwipl;;;
2021-08-13 00:00:00;92;wwipl;;;
2021-08-20 00:00:00;91;wwipl;;;
2021-08-27 00:00:00;93;wwipl;;;
2021-09-03 00:00:00;101;wwipl;;;
2021-09-10 00:00:00;107;wwipl;;;
2021-09-17 00:00:00;105;wwipl;;;
2021-09-23 00:00:00;110;wwipl;;;
2021-09-30 00:00:00;123;wwipl;;;
2021-10-08 00:00:00;128;wwipl;;;
2021-10-15 00:00:00;135;wwipl;;;
2021-10-21 00:00:00;146;wwipl;;;
2021-10-29 00:00:00;184;wwipl;;;
2021-11-05 00:00:00;188;wwipl;;;
2021-11-11 00:00:00;190;wwipl;;;
2021-11-22 00:00:00;176;wwipl;;;
2021-11-22 00:00:00;176;wwipl;;;
2021-11-26 00:00:00;172;wwipl;;;
2021-11-29 00:00:00;170;wwipl;;;
2021-12-06 00:00:00;165;wwipl;;;
2021-12-09 00:00:00;167;wwipl;;;
2021-12-14 00:00:00;170;wwipl;;;
2021-12-18 00:00:00;169;wwipl;;;
2021-12-27 00:00:00;172;wwipl;;;
2021-12-28 00:00:00;175;wwipl;;;
2021-12-28 00:00:00;176;wwipl;;;
2021-12-30 00:00:00;180;wwipl;;;
2021-12-30 00:00:00;185;wwipl;;;
2022-01-03 00:00:00;184;wwipl;;;
