Datetime;Price;Source;Tag;Note;Link
2021-09-09 00:00:00;2250;wwipl;;;
2022-04-26 00:00:00;1900;wwipl;;;
2022-05-05 00:00:00;1800;wwipl;;;
2022-06-17 00:00:00;1825;wwipl;;;
2022-06-23 00:00:00;1850;wwipl;;;
2022-11-23 00:00:00;1600;wwipl;;;
2022-12-12 00:00:00;1620;wwipl;;;
2023-01-06 00:00:00;1600;wwipl;;;
2023-10-28 00:00:00;1500;wwipl;;;
2023-11-03 00:00:00;1469;wwipl;;;
2024-02-21 00:00:00;1500;wwipl;;;
2024-05-15 00:00:00;1555;wwipl;;;
2024-07-26 00:00:00;1575;wwipl;;;
2024-08-18 00:00:00;1700;wwipl;;;
2024-08-18 00:00:00;1800;wwipl;;;
2024-08-20 00:00:00;1810;wwipl;;;
2024-10-30 00:00:00;1800;wwipl;;;
2024-11-07 00:00:00;1900;wwipl;;;
2024-11-08 00:00:00;1910;wwipl;;;
2024-11-08 00:00:00;1880;wwipl;;;
2024-11-13 00:00:00;1800;wwipl;;;
2024-11-19 00:00:00;1790;wwipl;;;
2024-12-02 00:00:00;1780;wwipl;;;
2025-02-26 00:00:00;1750;wwipl;;;
2025-06-12 00:00:00;1800;wwipl;;;
2025-10-31 00:00:00;1810;wwipl;;;
