Datetime;Price;Source;Tag;Note;Link
2021-09-09 00:00:00;25;wwipl;;;
2022-05-28 00:00:00;21;wwipl;;;
2022-06-06 00:00:00;20;wwipl;;;
2022-06-25 00:00:00;18;wwipl;;;
2022-07-06 00:00:00;19;wwipl;;;
2022-07-18 00:00:00;19.2;wwipl;;;
2022-12-16 00:00:00;20;wwipl;;;
2022-12-29 00:00:00;20.01;wwipl;;;
2023-04-25 00:00:00;20.1;wwipl;;;
2023-05-16 00:00:00;20.5;wwipl;;;
2024-10-31 00:00:00;30;wwipl;;;
2024-11-01 00:00:00;50;wwipl;;;
2024-11-02 00:00:00;60;wwipl;;;
2024-11-03 00:00:00;69;wwipl;;;
2024-11-04 00:00:00;70;wwipl;;;
2024-11-09 00:00:00;80;wwipl;;;
2024-11-09 00:00:00;75;wwipl;;;
2024-11-10 00:00:00;72;wwipl;;;
2024-11-11 00:00:00;71;wwipl;;;
