Datetime;Price;Source;Tag;Note;Link
2021-09-27 00:00:00;375;wwipl;;;
2022-07-18 00:00:00;360;wwipl;;;
2022-08-29 00:00:00;350;wwipl;;;
2023-03-28 00:00:00;351;wwipl;;;
2023-06-01 00:00:00;300;wwipl;;;
2023-06-02 00:00:00;290;wwipl;;;
2023-06-03 00:00:00;300;wwipl;;;
2023-06-06 00:00:00;325;wwipl;;;
2023-06-12 00:00:00;329;wwipl;;;
2023-09-18 00:00:00;333;wwipl;;;
2023-12-28 00:00:00;400;wwipl;;;
2023-12-29 00:00:00;410;wwipl;;;
2024-02-01 00:00:00;450;wwipl;;;
2024-02-05 00:00:00;460;wwipl;;;
2024-03-15 00:00:00;475;wwipl;;;
2024-04-15 00:00:00;489;wwipl;;;
2025-04-12 00:00:00;500;wwipl;;;
2025-05-24 00:00:00;505;wwipl;;;
2025-07-08 00:00:00;510;wwipl;;;
2025-08-13 00:00:00;525;wwipl;;;
2025-11-24 00:00:00;520;wwipl;;;
2025-12-20 00:00:00;515;wwipl;;;
2026-03-10 00:00:00;497;wwipl;;;
2026-03-11 00:00:00;495;wwipl;;;
