Datetime;Price;Source;Tag;Note;Link
2022-06-13 00:00:00;43;wwipl;;;
2023-06-20 00:00:00;45;wwipl;;;
2023-06-22 00:00:00;45.5;wwipl;;;
2023-11-03 00:00:00;50;wwipl;;;
2023-11-13 00:00:00;49;wwipl;;;
2024-01-08 00:00:00;60;wwipl;;;
2024-01-09 00:00:00;61;wwipl;;;
2024-01-12 00:00:00;64;wwipl;;;
2024-02-20 00:00:00;65;wwipl;;;
2024-03-07 00:00:00;70;wwipl;;;
2024-03-09 00:00:00;72;wwipl;;;
2024-07-17 00:00:00;75;wwipl;;;
2024-07-18 00:00:00;80;wwipl;;;
2024-07-20 00:00:00;83;wwipl;;;
2024-07-21 00:00:00;86;wwipl;;;
2024-07-26 00:00:00;87;wwipl;;;
2025-05-24 00:00:00;86;wwipl;;;
