Datetime;Price;Source;Tag;Note;Link
2021-10-22 00:00:00;95.5;wwipl;;;
2021-11-23 00:00:00;90;wwipl;;;
2021-11-27 00:00:00;89;wwipl;;;
2022-01-07 00:00:00;87;wwipl;;;
2022-01-15 00:00:00;87.35;wwipl;;;
2022-04-02 00:00:00;55;wwipl;;;
2022-04-04 00:00:00;54;wwipl;;;
2022-05-04 00:00:00;130;wwipl;;;
2022-05-05 00:00:00;131;wwipl;;;
2022-05-11 00:00:00;70;wwipl;;;
2022-05-12 00:00:00;69.5;wwipl;;;
2022-06-13 00:00:00;73;wwipl;;;
2022-06-17 00:00:00;74;wwipl;;;
2023-02-11 00:00:00;190;wwipl;;;
2023-02-12 00:00:00;191;wwipl;;;
2023-06-20 00:00:00;140;wwipl;;;
2023-06-21 00:00:00;136;wwipl;;;
2023-11-03 00:00:00;150;wwipl;;;
2023-11-04 00:00:00;155;wwipl;;;
2023-11-21 00:00:00;170;wwipl;;;
2023-11-24 00:00:00;171;wwipl;;;
2024-01-05 00:00:00;190;wwipl;;;
2024-01-09 00:00:00;200;wwipl;;;
2024-01-29 00:00:00;202;wwipl;;;
2024-05-29 00:00:00;205;wwipl;;;
