Datetime;Price;Source;Tag;Note;Link
2021-09-10 00:00:00;225;wwipl;;;
2022-04-07 00:00:00;250;wwipl;;;
2022-04-11 00:00:00;260;wwipl;;;
2022-04-12 00:00:00;262;wwipl;;;
2022-05-28 00:00:00;250;wwipl;;;
2022-12-21 00:00:00;246;wwipl;;;
2023-05-17 00:00:00;270;wwipl;;;
2023-05-18 00:00:00;272;wwipl;;;
2023-10-05 00:00:00;300;wwipl;;;
2023-10-10 00:00:00;306;wwipl;;;
2023-10-27 00:00:00;340;wwipl;;;
2023-11-01 00:00:00;350;wwipl;;;
2024-01-31 00:00:00;365;wwipl;;;
2024-02-01 00:00:00;380;wwipl;;;
2024-02-02 00:00:00;400;wwipl;;;
2024-02-07 00:00:00;410;wwipl;;;
2024-02-08 00:00:00;430;wwipl;;;
2024-02-10 00:00:00;450;wwipl;;;
2024-02-13 00:00:00;470;wwipl;;;
2024-02-20 00:00:00;500;wwipl;;;
2024-02-21 00:00:00;600;wwipl;;;
2024-02-23 00:00:00;650;wwipl;;;
2024-02-24 00:00:00;700;wwipl;;;
2024-02-26 00:00:00;750;wwipl;;;
2024-03-02 00:00:00;800;wwipl;;;
2024-03-03 00:00:00;950;wwipl;;;
2024-03-04 00:00:00;990;wwipl;;;
2024-03-28 00:00:00;1000;wwipl;;;
2024-08-24 00:00:00;1040;wwipl;;;
2024-08-25 00:00:00;1050;wwipl;;;
2024-08-26 00:00:00;1100;wwipl;;;
2024-08-30 00:00:00;1150;wwipl;;;
2024-08-31 00:00:00;1200;wwipl;;;
2024-09-01 00:00:00;1250;wwipl;;;
2024-09-13 00:00:00;1240;wwipl;;;
2024-10-25 00:00:00;1300;wwipl;;;
2024-10-29 00:00:00;1500;wwipl;;;
2024-10-30 00:00:00;1600;wwipl;;;
2024-11-01 00:00:00;1650;wwipl;;;
2024-11-06 00:00:00;1700;wwipl;;;
2024-12-03 00:00:00;1800;wwipl;;;
2024-12-07 00:00:00;1810;wwipl;;;
2024-12-11 00:00:00;1800;wwipl;;;
2025-03-14 00:00:00;1900;wwipl;;;
2025-03-17 00:00:00;1950;wwipl;;;
2025-04-26 00:00:00;2250;wwipl;;;
2025-04-27 00:00:00;2300;wwipl;;;
2025-05-04 00:00:00;2400;wwipl;;;
2025-05-08 00:00:00;2500;wwipl;;;
2025-09-01 00:00:00;2700;wwipl;;;
2025-09-08 00:00:00;2900;wwipl;;;
2025-09-11 00:00:00;3100;wwipl;;;
2025-09-13 00:00:00;3200;wwipl;;;
2025-09-17 00:00:00;3300;wwipl;;;
2025-09-18 00:00:00;3400;wwipl;;;
2025-09-19 00:00:00;3550;wwipl;;;
2025-09-27 00:00:00;3600;wwipl;;;
2025-12-23 00:00:00;3100;wwipl;;;
2026-03-17 00:00:00;2900;wwipl;;;
2026-03-28 00:00:00;2850;wwipl;;;
2026-04-02 00:00:00;2800;wwipl;;;
2026-04-11 00:00:00;2700;wwipl;;;
