Datetime;Price;Source;Tag;Note;Link
2024-10-23 00:00:00;650;wwipl;;;
2024-10-31 00:00:00;660;wwipl;;;
2024-11-01 00:00:00;675;wwipl;;;
2024-11-02 00:00:00;685;wwipl;;;
2024-11-06 00:00:00;700;wwipl;;;
2024-11-20 00:00:00;690;wwipl;;;
2024-11-25 00:00:00;700;wwipl;;;
2025-08-22 00:00:00;660;wwipl;;;
2025-08-30 00:00:00;650;wwipl;;;
2025-11-13 00:00:00;600;wwipl;;;
2025-12-29 00:00:00;590;wwipl;;;
2026-03-09 00:00:00;585;wwipl;;M;https://wwipl.com/unlisted-shares/greenzo-energy-unlisted-share-price
2026-03-14 00:00:00;600;wwipl;;;
