Datetime;Price;Source;Tag;Note;Link
2023-03-24 00:00:00;78;wwipl;;;
2023-05-08 00:00:00;80;wwipl;;;
2023-12-14 00:00:00;85;wwipl;;;
2024-01-11 00:00:00;87;wwipl;;;
2024-01-30 00:00:00;89;wwipl;;;
2024-02-09 00:00:00;90;wwipl;;;
2024-02-21 00:00:00;86;wwipl;;;
2024-02-27 00:00:00;81;wwipl;;;
2024-03-07 00:00:00;80;wwipl;;;
2024-03-18 00:00:00;75;wwipl;;;
2024-04-03 00:00:00;75;wwipl;;;
2024-04-06 00:00:00;80;wwipl;;;
2024-04-13 00:00:00;81;wwipl;;;
2024-05-01 00:00:00;75;wwipl;;;
2024-05-03 00:00:00;74;wwipl;;;
2024-05-07 00:00:00;73;wwipl;;;
2024-05-26 00:00:00;70;wwipl;;;
2024-05-27 00:00:00;69;wwipl;;;
2024-05-30 00:00:00;68;wwipl;;;
2024-06-03 00:00:00;66;wwipl;;;
2024-06-25 00:00:00;65;wwipl;;;
2024-07-13 00:00:00;63;wwipl;;;
2024-08-02 00:00:00;60;wwipl;;;
2024-08-07 00:00:00;59;wwipl;;;
2024-12-03 00:00:00;65;wwipl;;;
2024-12-04 00:00:00;70;wwipl;;;
2024-12-07 00:00:00;73;wwipl;;;
2024-12-08 00:00:00;75;wwipl;;;
2025-03-11 00:00:00;70;wwipl;;;
2025-03-12 00:00:00;69;wwipl;;;
2025-04-11 00:00:00;65;wwipl;;;
2025-04-20 00:00:00;64;wwipl;;;
2025-09-01 00:00:00;62;wwipl;;;
2025-09-03 00:00:00;60;wwipl;;;
2025-09-08 00:00:00;59;wwipl;;;
2025-10-01 00:00:00;57;wwipl;;;
2026-03-04 00:00:00;60;wwipl;;;
2026-03-04 00:00:00;54;wwipl;;;
2026-03-05 00:00:00;52;wwipl;;;
2026-03-09 00:00:00;49;wwipl;;;
2026-03-11 00:00:00;45;wwipl;;;
2026-03-28 00:00:00;48;wwipl;;;
