Datetime;Price;Source;Tag;Note;Link
2021-09-10 00:00:00;10;wwipl;;;
2021-12-02 00:00:00;11;wwipl;;;
2021-12-03 00:00:00;12;wwipl;;;
2021-12-05 00:00:00;20;wwipl;;;
2021-12-06 00:00:00;25;wwipl;;;
2021-12-07 00:00:00;30;wwipl;;;
2021-12-08 00:00:00;31;wwipl;;;
2021-12-11 00:00:00;32.5;wwipl;;;
2021-12-14 00:00:00;34;wwipl;;;
2021-12-15 00:00:00;35;wwipl;;;
2021-12-16 00:00:00;35.1;wwipl;;;
2024-03-29 00:00:00;40;wwipl;;;
2024-03-30 00:00:00;42;wwipl;;;
2024-03-31 00:00:00;60;wwipl;;;
2024-04-01 00:00:00;70;wwipl;;;
2024-04-03 00:00:00;80;wwipl;;;
2024-04-03 00:00:00;90;wwipl;;;
2024-04-05 00:00:00;100;wwipl;;;
2024-04-06 00:00:00;110;wwipl;;;
2024-04-08 00:00:00;120;wwipl;;;
2024-04-09 00:00:00;129;wwipl;;;
2024-04-10 00:00:00;140;wwipl;;;
2024-04-11 00:00:00;150;wwipl;;;
2024-04-12 00:00:00;160;wwipl;;;
2024-04-13 00:00:00;167;wwipl;;;
2024-04-14 00:00:00;180;wwipl;;;
2024-04-15 00:00:00;190;wwipl;;;
2024-04-17 00:00:00;200;wwipl;;;
2024-04-19 00:00:00;202;wwipl;;;
2024-05-01 00:00:00;205;wwipl;;;
2024-08-21 00:00:00;200;wwipl;;;
2024-08-24 00:00:00;210;wwipl;;;
2024-08-24 00:00:00;202;wwipl;;;
2024-08-25 00:00:00;205;wwipl;;;
2026-01-26 00:00:00;212;wwipl;;;
2026-03-25 00:00:00;210;wwipl;;;
