Datetime;Price;Source;Tag;Note;Link
2021-12-13 00:00:00;1900;wwipl;;;
2021-12-27 00:00:00;2100;wwipl;;;
2022-01-01 00:00:00;2150;wwipl;;;
2022-01-04 00:00:00;2155;wwipl;;;
2022-04-18 00:00:00;2100;wwipl;;;
2022-12-16 00:00:00;2000;wwipl;;;
2022-12-21 00:00:00;1950;wwipl;;;
2022-12-22 00:00:00;1710;wwipl;;;
2022-12-23 00:00:00;1600;wwipl;;;
2022-12-26 00:00:00;1579;wwipl;;;
2023-02-23 00:00:00;1650;wwipl;;;
2023-02-27 00:00:00;1700;wwipl;;;
2023-03-03 00:00:00;1710;wwipl;;;
2023-05-18 00:00:00;1700;wwipl;;;
2023-06-15 00:00:00;1600;wwipl;;;
2023-06-22 00:00:00;1550;wwipl;;;
2023-07-19 00:00:00;1400;wwipl;;;
2023-07-20 00:00:00;1420;wwipl;;;
2023-07-22 00:00:00;1350;wwipl;;;
2023-07-22 00:00:00;1400;wwipl;;;
2023-07-27 00:00:00;1420;wwipl;;;
2023-09-04 00:00:00;1450;wwipl;;;
2024-08-03 00:00:00;1550;wwipl;;;
2024-08-07 00:00:00;1575;wwipl;;;
2024-10-21 00:00:00;1600;wwipl;;;
2024-11-28 00:00:00;1650;wwipl;;;
2025-03-24 00:00:00;1600;wwipl;;;
2025-11-28 00:00:00;1650;wwipl;;;
2026-03-04 00:00:00;1600;wwipl;;;
2026-03-07 00:00:00;1500;wwipl;;;
2026-03-08 00:00:00;1450;wwipl;;;
2026-03-09 00:00:00;1440;wwipl;;;
2026-03-11 00:00:00;1400;wwipl;;;
