Datetime;Price;Source;Tag;Note;Link
2024-12-09 00:00:00;260;wwipl;;;
2025-01-19 00:00:00;262;wwipl;;;
2025-02-05 00:00:00;250;wwipl;;;
2025-02-06 00:00:00;245;wwipl;;;
2025-03-04 00:00:00;235;wwipl;;;
2025-03-14 00:00:00;225;wwipl;;;
2025-04-10 00:00:00;220;wwipl;;;
2025-04-28 00:00:00;218;wwipl;;;
2025-05-24 00:00:00;220;wwipl;;;
2025-06-18 00:00:00;215;wwipl;;;
2025-07-12 00:00:00;210;wwipl;;;
2025-07-22 00:00:00;205;wwipl;;;
2025-07-24 00:00:00;200;wwipl;;;
2025-07-31 00:00:00;210;wwipl;;;
2025-08-07 00:00:00;215;wwipl;;;
2025-08-14 00:00:00;220;wwipl;;;
2025-08-19 00:00:00;240;wwipl;;;
2025-08-20 00:00:00;255;wwipl;;;
2025-09-06 00:00:00;265;wwipl;;;
2025-09-30 00:00:00;260;wwipl;;;
2025-10-01 00:00:00;250;wwipl;;;
2025-12-01 00:00:00;245;wwipl;;;
2025-12-04 00:00:00;242;wwipl;;;
2025-12-04 00:00:00;240;wwipl;;;
2025-12-06 00:00:00;235;wwipl;;;
2025-12-22 00:00:00;225;wwipl;;;
2026-01-21 00:00:00;220;wwipl;;;
2026-01-29 00:00:00;230;wwipl;;;
2026-02-21 00:00:00;245;wwipl;;;
2026-02-23 00:00:00;235;wwipl;;;
