Datetime;Price;Source;Tag;Note;Link
2021-09-11 00:00:00;30;wwipl;;;
2021-11-23 00:00:00;29;wwipl;;;
2021-11-29 00:00:00;25;wwipl;;;
2021-11-29 00:00:00;24;wwipl;;;
2021-12-07 00:00:00;25;wwipl;;;
2021-12-08 00:00:00;25.1;wwipl;;;
2022-01-06 00:00:00;28;wwipl;;;
2022-01-07 00:00:00;29;wwipl;;;
2022-01-15 00:00:00;29.1;wwipl;;;
2022-02-16 00:00:00;26;wwipl;;;
2022-02-18 00:00:00;25.5;wwipl;;;
2022-04-02 00:00:00;25;wwipl;;;
2022-04-11 00:00:00;24;wwipl;;;
2022-04-19 00:00:00;26;wwipl;;;
2022-04-19 00:00:00;25;wwipl;;;
2022-04-20 00:00:00;23;wwipl;;;
2022-04-20 00:00:00;24.5;wwipl;;;
2022-04-21 00:00:00;24.55;wwipl;;;
2022-05-28 00:00:00;22;wwipl;;;
2022-06-06 00:00:00;22.1;wwipl;;;
2023-05-18 00:00:00;23;wwipl;;;
2023-05-20 00:00:00;24;wwipl;;;
2023-06-16 00:00:00;23;wwipl;;;
2023-06-26 00:00:00;22.9;wwipl;;;
2023-07-11 00:00:00;22;wwipl;;;
2023-07-12 00:00:00;21;wwipl;;;
2023-07-19 00:00:00;20;wwipl;;;
2023-08-17 00:00:00;20.1;wwipl;;;
2023-10-04 00:00:00;22;wwipl;;;
2023-10-10 00:00:00;23;wwipl;;;
2023-11-27 00:00:00;24;wwipl;;;
2023-12-20 00:00:00;24.2;wwipl;;;
2024-02-16 00:00:00;24.2;wwipl;;;
2024-04-05 00:00:00;25;wwipl;;;
2025-05-24 00:00:00;24.5;wwipl;;;
2025-11-22 00:00:00;25;wwipl;;;
2026-02-05 00:00:00;24;wwipl;;;
2026-03-25 00:00:00;26;wwipl;;;
