Datetime;Price;Source;Tag;Note;Link
2021-09-11 00:00:00;30;wwipl;;;
2022-05-26 00:00:00;30.5;wwipl;;;
2022-07-11 00:00:00;33.5;wwipl;;;
2022-07-18 00:00:00;35;wwipl;;;
2022-12-05 00:00:00;40;wwipl;;;
2022-12-12 00:00:00;65;wwipl;;;
2022-12-13 00:00:00;72.5;wwipl;;;
2022-12-14 00:00:00;75.5;wwipl;;;
2022-12-29 00:00:00;75;wwipl;;;
2023-01-20 00:00:00;85.5;wwipl;;;
2023-01-25 00:00:00;85;wwipl;;;
2023-04-19 00:00:00;95;wwipl;;;
2023-04-22 00:00:00;100;wwipl;;;
2023-04-24 00:00:00;102;wwipl;;;
2023-06-02 00:00:00;107;wwipl;;;
2023-06-17 00:00:00;107.5;wwipl;;;
2023-06-20 00:00:00;105;wwipl;;;
2023-07-24 00:00:00;110;wwipl;;;
2023-07-26 00:00:00;110.5;wwipl;;;
2023-10-25 00:00:00;106;wwipl;;;
2023-11-27 00:00:00;102.5;wwipl;;;
2023-12-14 00:00:00;107.5;wwipl;;;
2023-12-15 00:00:00;108;wwipl;;;
2024-01-04 00:00:00;105;wwipl;;;
2024-03-28 00:00:00;107.5;wwipl;;;
2024-04-02 00:00:00;111;wwipl;;;
2024-04-10 00:00:00;115;wwipl;;;
2024-04-11 00:00:00;120;wwipl;;;
2024-04-12 00:00:00;121.5;wwipl;;;
2024-04-30 00:00:00;127.5;wwipl;;;
2024-04-30 00:00:00;135;wwipl;;;
2024-05-01 00:00:00;140;wwipl;;;
2024-05-07 00:00:00;145;wwipl;;;
2024-05-08 00:00:00;147.5;wwipl;;;
2024-05-17 00:00:00;155;wwipl;;;
2024-05-21 00:00:00;156;wwipl;;;
2024-10-18 00:00:00;165;wwipl;;;
2024-10-19 00:00:00;170;wwipl;;;
2024-11-11 00:00:00;165;wwipl;;;
2024-11-15 00:00:00;160;wwipl;;;
2024-12-09 00:00:00;155;wwipl;;;
2024-12-25 00:00:00;160;wwipl;;;
2025-02-06 00:00:00;150;wwipl;;;
2025-02-10 00:00:00;145;wwipl;;;
2025-02-17 00:00:00;140;wwipl;;;
2025-02-21 00:00:00;135;wwipl;;;
2025-04-02 00:00:00;145;wwipl;;;
2025-04-03 00:00:00;155;wwipl;;;
2025-04-04 00:00:00;160;wwipl;;;
2025-04-07 00:00:00;175;wwipl;;;
2025-04-08 00:00:00;187.5;wwipl;;;
2025-04-09 00:00:00;190;wwipl;;;
2025-04-10 00:00:00;195;wwipl;;;
2025-04-14 00:00:00;192.5;wwipl;;;
2025-04-23 00:00:00;195;wwipl;;;
2025-07-19 00:00:00;200;wwipl;;;
2025-07-22 00:00:00;205;wwipl;;;
2025-08-13 00:00:00;212.5;wwipl;;;
2025-09-30 00:00:00;205;wwipl;;;
2025-10-01 00:00:00;200;wwipl;;;
2025-12-23 00:00:00;212.5;wwipl;;;
2026-01-03 00:00:00;220;wwipl;;;
2026-01-09 00:00:00;225;wwipl;;;
2026-02-01 00:00:00;212.5;wwipl;;;
2026-04-10 00:00:00;213;wwipl;;;
2026-04-14 00:00:00;245;wwipl;;;
