Datetime;Price;Source;Tag;Note;Link
2021-09-11 00:00:00;10;wwipl;;;
2021-11-25 00:00:00;9;wwipl;;;
2021-11-27 00:00:00;8.95;wwipl;;;
2022-01-13 00:00:00;9;wwipl;;;
2022-01-24 00:00:00;8.9;wwipl;;;
2022-03-09 00:00:00;7.5;wwipl;;;
2022-03-23 00:00:00;7.4;wwipl;;;
2022-04-04 00:00:00;7;wwipl;;;
2022-04-07 00:00:00;7.01;wwipl;;;
2022-04-21 00:00:00;7.1;wwipl;;;
2022-04-26 00:00:00;7;wwipl;;;
2022-05-11 00:00:00;6.9;wwipl;;;
2022-05-20 00:00:00;6;wwipl;;;
2022-05-26 00:00:00;5.6;wwipl;;;
2022-06-06 00:00:00;5.55;wwipl;;;
2022-06-27 00:00:00;5;wwipl;;;
2022-08-05 00:00:00;5.01;wwipl;;;
2022-11-12 00:00:00;5;wwipl;;;
2023-01-17 00:00:00;0.1;wwipl;;;
2023-01-19 00:00:00;0.1001;wwipl;;;
2023-02-02 00:00:00;0.1;wwipl;;;
2023-08-28 00:00:00;4;wwipl;;;
2023-08-29 00:00:00;4.05;wwipl;;;
2023-09-02 00:00:00;4;wwipl;;;
2023-12-04 00:00:00;4.1;wwipl;;;
2024-04-16 00:00:00;4.15;wwipl;;;
2024-09-05 00:00:00;4.25;wwipl;;;
2024-12-10 00:00:00;4;wwipl;;;
2025-01-03 00:00:00;4.4;wwipl;;;
2025-01-04 00:00:00;5;wwipl;;;
2025-01-05 00:00:00;5.3;wwipl;;;
2025-01-06 00:00:00;5.5;wwipl;;;
2025-01-17 00:00:00;5.45;wwipl;;;
2025-02-07 00:00:00;4.9;wwipl;;;
2025-02-16 00:00:00;4.75;wwipl;;;
2025-03-06 00:00:00;4.5;wwipl;;;
2025-03-13 00:00:00;4.25;wwipl;;;
2025-03-20 00:00:00;4.1;wwipl;;;
2025-05-08 00:00:00;4;wwipl;;;
2025-06-12 00:00:00;4.5;wwipl;;;
2025-06-12 00:00:00;4.25;wwipl;;;
2025-06-14 00:00:00;5;wwipl;;;
2025-06-14 00:00:00;5.5;wwipl;;;
2025-06-14 00:00:00;6;wwipl;;;
2025-06-15 00:00:00;7;wwipl;;;
2025-06-18 00:00:00;7.5;wwipl;;;
2025-06-25 00:00:00;7;wwipl;;;
2025-06-28 00:00:00;6;wwipl;;;
2025-07-02 00:00:00;5.5;wwipl;;;
2025-07-22 00:00:00;5;wwipl;;;
2025-08-20 00:00:00;4.5;wwipl;;;
2025-08-26 00:00:00;4.4;wwipl;;;
2025-09-13 00:00:00;4.15;wwipl;;;
2025-10-14 00:00:00;3.95;wwipl;;;
2025-11-12 00:00:00;3.75;wwipl;;;
2025-12-16 00:00:00;3.5;wwipl;;;
2026-01-02 00:00:00;3.4;wwipl;;;
2026-02-24 00:00:00;3.2;wwipl;;;
2026-02-28 00:00:00;3.05;wwipl;;;
2026-03-07 00:00:00;2.95;wwipl;;;
2026-03-10 00:00:00;2.9;wwipl;;;
