Datetime;Price;Source;Tag;Note;Link
2021-09-11 00:00:00;15;wwipl;;;
2021-12-01 00:00:00;12;wwipl;;;
2021-12-03 00:00:00;12.1;wwipl;;;
2021-12-06 00:00:00;12;wwipl;;;
2022-02-25 00:00:00;11.5;wwipl;;;
2022-03-16 00:00:00;11;wwipl;;;
2022-03-25 00:00:00;11.1;wwipl;;;
2022-03-31 00:00:00;11.2;wwipl;;;
2022-04-21 00:00:00;12;wwipl;;;
2022-05-05 00:00:00;13;wwipl;;;
2022-05-10 00:00:00;12.95;wwipl;;;
2022-12-14 00:00:00;12.2;wwipl;;;
2022-12-21 00:00:00;12;wwipl;;;
2023-10-17 00:00:00;12.2;wwipl;;;
2023-12-21 00:00:00;12.5;wwipl;;;
2023-12-28 00:00:00;12.4;wwipl;;;
2024-01-13 00:00:00;13;wwipl;;;
2024-01-29 00:00:00;14;wwipl;;;
2024-02-13 00:00:00;14.1;wwipl;;;
2024-02-19 00:00:00;16;wwipl;;;
2024-02-20 00:00:00;15.9;wwipl;;;
2024-02-21 00:00:00;17;wwipl;;;
2024-03-03 00:00:00;18;wwipl;;;
2024-03-08 00:00:00;19;wwipl;;;
2024-03-09 00:00:00;20;wwipl;;;
2024-03-16 00:00:00;20.2;wwipl;;;
2024-03-28 00:00:00;21;wwipl;;;
2024-04-05 00:00:00;21.5;wwipl;;;
2024-04-16 00:00:00;22;wwipl;;;
2024-04-18 00:00:00;21;wwipl;;;
2024-05-03 00:00:00;20;wwipl;;;
2024-05-05 00:00:00;19.9;wwipl;;;
2024-07-02 00:00:00;24;wwipl;;;
2024-07-03 00:00:00;23;wwipl;;;
2024-07-10 00:00:00;26;wwipl;;;
2024-07-11 00:00:00;28;wwipl;;;
2024-07-12 00:00:00;27;wwipl;;;
2024-07-12 00:00:00;28;wwipl;;;
2024-07-15 00:00:00;30;wwipl;;;
2024-07-15 00:00:00;29;wwipl;;;
2024-07-16 00:00:00;30;wwipl;;;
2024-07-22 00:00:00;29;wwipl;;;
2024-07-31 00:00:00;28;wwipl;;;
2024-08-20 00:00:00;26;wwipl;;;
2024-08-22 00:00:00;25;wwipl;;;
2024-09-10 00:00:00;24;wwipl;;;
2024-09-13 00:00:00;23;wwipl;;;
2024-10-25 00:00:00;22.5;wwipl;;;
2024-12-02 00:00:00;22;wwipl;;;
2025-02-17 00:00:00;21;wwipl;;;
2025-05-18 00:00:00;20;wwipl;;;
