Datetime;Price;Source;Tag;Note;Link
2022-07-12 00:00:00;25;wwipl;;;
2023-03-04 00:00:00;27;wwipl;;;
2023-03-07 00:00:00;28;wwipl;;;
2023-03-12 00:00:00;27.9;wwipl;;;
2023-08-18 00:00:00;30;wwipl;;;
2023-08-18 00:00:00;35;wwipl;;;
2023-08-21 00:00:00;40;wwipl;;;
2023-08-23 00:00:00;41;wwipl;;;
2024-04-14 00:00:00;50;wwipl;;;
2024-04-16 00:00:00;60;wwipl;;;
2024-04-17 00:00:00;65;wwipl;;;
2024-04-19 00:00:00;70;wwipl;;;
2024-04-20 00:00:00;75;wwipl;;;
2024-04-22 00:00:00;76;wwipl;;;
2024-05-04 00:00:00;80;wwipl;;;
2024-05-05 00:00:00;81;wwipl;;;
