Datetime;Price;Source;Tag;Note;Link
2022-05-07 00:00:00;10;wwipl;;;
2023-05-23 00:00:00;18;wwipl;;;
2023-05-23 00:00:00;17.7;wwipl;;;
2023-05-24 00:00:00;17.5;wwipl;;;
2023-07-06 00:00:00;17;wwipl;;;
2023-07-19 00:00:00;16;wwipl;;;
2023-08-10 00:00:00;16.1;wwipl;;;
2023-08-14 00:00:00;16.2;wwipl;;;
2023-10-10 00:00:00;15.75;wwipl;;;
2023-11-02 00:00:00;15.25;wwipl;;;
2023-11-03 00:00:00;15;wwipl;;;
2023-12-11 00:00:00;15;wwipl;;;
2023-12-29 00:00:00;16;wwipl;;;
2024-01-01 00:00:00;16.1;wwipl;;;
2024-01-23 00:00:00;16.1;wwipl;;;
2024-02-05 00:00:00;16.1;wwipl;;;
2024-02-22 00:00:00;15;wwipl;;;
2024-03-02 00:00:00;15.2;wwipl;;;
2024-03-14 00:00:00;15;wwipl;;;
2024-05-08 00:00:00;14.75;wwipl;;;
2024-05-25 00:00:00;16;wwipl;;;
2024-05-27 00:00:00;16.1;wwipl;;;
2024-07-22 00:00:00;15.5;wwipl;;;
2024-07-23 00:00:00;15.75;wwipl;;;
2024-08-27 00:00:00;15;wwipl;;;
2024-08-30 00:00:00;15.1;wwipl;;;
2024-10-17 00:00:00;14;wwipl;;;
2024-10-21 00:00:00;13.5;wwipl;;;
2024-11-08 00:00:00;14;wwipl;;;
2024-11-11 00:00:00;15;wwipl;;;
2024-11-12 00:00:00;15.5;wwipl;;;
2025-01-12 00:00:00;16;wwipl;;;
2025-03-19 00:00:00;16.5;wwipl;;;
2025-04-22 00:00:00;17;wwipl;;;
2025-09-01 00:00:00;16.5;wwipl;;;
2025-11-25 00:00:00;17;wwipl;;;
2026-01-14 00:00:00;18;wwipl;;;
