Datetime;Price;Source;Tag;Note;Link
2021-09-13 00:00:00;400;wwipl;;;
2023-09-19 00:00:00;310;wwipl;;;
2023-09-26 00:00:00;303;wwipl;;;
2023-12-28 00:00:00;333;wwipl;;;
2023-12-29 00:00:00;350;wwipl;;;
2024-01-01 00:00:00;355;wwipl;;;
2024-01-03 00:00:00;400;wwipl;;;
2024-01-04 00:00:00;440;wwipl;;;
2024-01-09 00:00:00;450;wwipl;;;
2024-02-13 00:00:00;500;wwipl;;;
2024-02-16 00:00:00;555;wwipl;;;
2024-02-17 00:00:00;600;wwipl;;;
2024-02-20 00:00:00;626;wwipl;;;
2024-03-15 00:00:00;700;wwipl;;;
2024-03-16 00:00:00;720;wwipl;;;
2024-04-13 00:00:00;750;wwipl;;;
2024-04-23 00:00:00;800;wwipl;;;
2024-04-26 00:00:00;810;wwipl;;;
2024-05-04 00:00:00;850;wwipl;;;
2024-05-05 00:00:00;860;wwipl;;;
2024-09-14 00:00:00;900;wwipl;;;
2024-09-16 00:00:00;910;wwipl;;;
2024-10-21 00:00:00;880;wwipl;;;
2024-10-31 00:00:00;900;wwipl;;;
2024-11-02 00:00:00;910;wwipl;;;
2025-05-08 00:00:00;850;wwipl;;;
2025-07-05 00:00:00;860;wwipl;;;
