Datetime;Price;Source;Tag;Note;Link
2019-05-31 00:00:00;47.5;wwipl;;;
2019-06-05 00:00:00;48.5;wwipl;;;
2019-06-11 00:00:00;49.5;wwipl;;;
2019-06-17 00:00:00;50;wwipl;;;
2019-06-23 00:00:00;50.75;wwipl;;;
2019-06-29 00:00:00;51.75;wwipl;;;
2019-07-05 00:00:00;52.75;wwipl;;;
2019-07-11 00:00:00;53.75;wwipl;;;
2019-07-17 00:00:00;54;wwipl;;;
2019-07-23 00:00:00;54.5;wwipl;;;
2019-07-29 00:00:00;53.75;wwipl;;;
2019-08-04 00:00:00;52.5;wwipl;;;
2019-08-10 00:00:00;51.5;wwipl;;;
2019-08-16 00:00:00;51;wwipl;;;
2019-08-22 00:00:00;50;wwipl;;;
2019-08-28 00:00:00;50.5;wwipl;;;
2019-09-03 00:00:00;51.5;wwipl;;;
2019-09-09 00:00:00;51.75;wwipl;;;
2019-09-15 00:00:00;52.5;wwipl;;;
2019-09-21 00:00:00;53.25;wwipl;;;
2019-09-27 00:00:00;54;wwipl;;;
2019-10-03 00:00:00;54.75;wwipl;;;
2019-10-09 00:00:00;55;wwipl;;;
2019-10-15 00:00:00;56;wwipl;;;
2019-10-21 00:00:00;57.25;wwipl;;;
2019-10-27 00:00:00;57.75;wwipl;;;
2019-11-02 00:00:00;58.5;wwipl;;;
2019-11-08 00:00:00;58.75;wwipl;;;
2019-11-17 00:00:00;59;wwipl;;;
2019-11-26 00:00:00;59.25;wwipl;;;
2019-12-05 00:00:00;59.5;wwipl;;;
2019-12-14 00:00:00;59.3;wwipl;;;
2019-12-23 00:00:00;59.8;wwipl;;;
2020-01-01 00:00:00;60;wwipl;;;
2020-01-10 00:00:00;59.75;wwipl;;;
2020-01-19 00:00:00;59.5;wwipl;;;
2020-01-28 00:00:00;59.25;wwipl;;;
2020-02-06 00:00:00;59;wwipl;;;
2020-02-15 00:00:00;58.75;wwipl;;;
2020-02-24 00:00:00;58.25;wwipl;;;
2020-03-04 00:00:00;58.85;wwipl;;;
2020-03-13 00:00:00;59;wwipl;;;
2020-03-22 00:00:00;59.1;wwipl;;;
2020-04-03 00:00:00;59.25;wwipl;;;
2020-04-10 00:00:00;59.5;wwipl;;;
2020-04-17 00:00:00;60;wwipl;;;
2020-04-24 00:00:00;59;wwipl;;;
2020-05-01 00:00:00;58.25;wwipl;;;
2020-05-08 00:00:00;57.5;wwipl;;;
2020-05-15 00:00:00;56.75;wwipl;;;
2020-05-22 00:00:00;56.25;wwipl;;;
2020-05-29 00:00:00;57;wwipl;;;
2020-06-05 00:00:00;57.75;wwipl;;;
2020-06-12 00:00:00;58.75;wwipl;;;
2020-06-19 00:00:00;60;wwipl;;;
2020-06-26 00:00:00;61.25;wwipl;;;
2020-07-03 00:00:00;62.5;wwipl;;;
2020-07-09 00:00:00;56.25;wwipl;;;
2020-07-10 00:00:00;56;wwipl;;;
2020-07-17 00:00:00;55;wwipl;;;
2020-07-24 00:00:00;53.5;wwipl;;;
2020-07-31 00:00:00;52.5;wwipl;;;
2020-08-07 00:00:00;51.25;wwipl;;;
2020-08-14 00:00:00;50.25;wwipl;;;
2020-08-21 00:00:00;49.5;wwipl;;;
2020-08-28 00:00:00;49;wwipl;;;
2020-08-31 00:00:00;48.75;wwipl;;;
2020-09-04 00:00:00;49.25;wwipl;;;
2020-09-09 00:00:00;50;wwipl;;;
2020-09-11 00:00:00;49;wwipl;;;
2020-09-18 00:00:00;47.25;wwipl;;;
2020-09-25 00:00:00;46;wwipl;;;
2020-10-02 00:00:00;45;wwipl;;;
2020-10-09 00:00:00;43.75;wwipl;;;
2020-10-16 00:00:00;42.5;wwipl;;;
2020-10-23 00:00:00;43.25;wwipl;;;
2020-10-30 00:00:00;43.75;wwipl;;;
2020-11-06 00:00:00;46.25;wwipl;;;
2020-11-13 00:00:00;48;wwipl;;;
2020-11-20 00:00:00;51;wwipl;;;
2020-11-26 00:00:00;53.75;wwipl;;;
2020-11-27 00:00:00;54.25;wwipl;;;
2020-12-04 00:00:00;54.75;wwipl;;;
2020-12-11 00:00:00;55;wwipl;;;
2020-12-18 00:00:00;58.75;wwipl;;;
2020-12-25 00:00:00;60;wwipl;;;
2021-01-01 00:00:00;63.75;wwipl;;;
2021-01-08 00:00:00;68.75;wwipl;;;
2021-01-15 00:00:00;75;wwipl;;;
2021-01-21 00:00:00;93.75;wwipl;;;
2021-01-22 00:00:00;92;wwipl;;;
2021-01-29 00:00:00;90;wwipl;;;
2021-02-05 00:00:00;106.25;wwipl;;;
2021-02-12 00:00:00;101.25;wwipl;;;
2021-02-16 00:00:00;102.5;wwipl;;;
2021-02-19 00:00:00;102;wwipl;;;
2021-02-25 00:00:00;101.5;wwipl;;;
2021-02-26 00:00:00;101;wwipl;;;
2021-03-05 00:00:00;101.25;wwipl;;;
2021-03-09 00:00:00;100;wwipl;;;
2021-03-12 00:00:00;100.75;wwipl;;;
2021-03-19 00:00:00;101.25;wwipl;;;
2021-03-26 00:00:00;100;wwipl;;;
2021-04-02 00:00:00;98.75;wwipl;;;
2021-04-09 00:00:00;97.5;wwipl;;;
2021-04-16 00:00:00;93.75;wwipl;;;
2021-04-23 00:00:00;95;wwipl;;;
2021-04-30 00:00:00;93.75;wwipl;;;
2021-05-07 00:00:00;100;wwipl;;;
2021-05-14 00:00:00;82.5;wwipl;;;
2021-05-21 00:00:00;80;wwipl;;;
2021-05-28 00:00:00;78.75;wwipl;;;
