Datetime;Price;Source;Tag;Note;Link
2021-09-22 00:00:00;15;wwipl;;;
2022-01-27 00:00:00;10;wwipl;;;
2022-01-28 00:00:00;9;wwipl;;;
2022-02-02 00:00:00;8.9;wwipl;;;
2022-04-29 00:00:00;8;wwipl;;;
2022-05-10 00:00:00;7.95;wwipl;;;
2022-08-05 00:00:00;7;wwipl;;;
2022-08-22 00:00:00;7.1;wwipl;;;
2022-08-27 00:00:00;5.1;wwipl;;;
2022-09-03 00:00:00;5.05;wwipl;;;
2022-12-13 00:00:00;5.1;wwipl;;;
2023-01-17 00:00:00;0.05;wwipl;;;
2023-01-19 00:00:00;1;wwipl;;;
2023-01-19 00:00:00;5;wwipl;;;
2023-01-20 00:00:00;5.01;wwipl;;;
2023-03-23 00:00:00;4.8;wwipl;;;
2023-04-04 00:00:00;4.81;wwipl;;;
2023-04-28 00:00:00;5;wwipl;;;
2023-05-02 00:00:00;5.1;wwipl;;;
2025-06-13 00:00:00;5;wwipl;;;
2025-10-09 00:00:00;4.5;wwipl;;;
2025-11-13 00:00:00;4;wwipl;;;
2026-01-05 00:00:00;4.5;wwipl;;;
2026-01-07 00:00:00;4;wwipl;;;
2026-01-30 00:00:00;5;wwipl;;;
