Datetime;Price;Source;Tag;Note;Link
2021-09-15 00:00:00;52;wwipl;;;
2021-11-27 00:00:00;40;wwipl;;;
2021-11-30 00:00:00;40.4;wwipl;;;
2021-12-30 00:00:00;41;wwipl;;;
2022-01-13 00:00:00;42;wwipl;;;
2022-01-15 00:00:00;70;wwipl;;;
2022-01-17 00:00:00;72;wwipl;;;
2022-01-21 00:00:00;75;wwipl;;;
2022-01-28 00:00:00;74;wwipl;;;
2022-02-18 00:00:00;68;wwipl;;;
2022-03-16 00:00:00;60;wwipl;;;
2022-03-23 00:00:00;61;wwipl;;;
2022-04-07 00:00:00;66;wwipl;;;
2022-04-19 00:00:00;67;wwipl;;;
2022-05-11 00:00:00;61;wwipl;;;
2022-05-13 00:00:00;60;wwipl;;;
2022-05-14 00:00:00;64;wwipl;;;
2022-05-14 00:00:00;63;wwipl;;;
2022-05-14 00:00:00;60;wwipl;;;
2022-05-25 00:00:00;58;wwipl;;;
2022-06-14 00:00:00;54;wwipl;;;
2022-06-20 00:00:00;47;wwipl;;;
2022-06-21 00:00:00;45;wwipl;;;
2022-07-06 00:00:00;40;wwipl;;;
2022-07-18 00:00:00;39;wwipl;;;
2022-08-05 00:00:00;30;wwipl;;;
2022-08-12 00:00:00;30.3;wwipl;;;
2022-08-17 00:00:00;36;wwipl;;;
2022-08-18 00:00:00;40;wwipl;;;
2022-08-22 00:00:00;47;wwipl;;;
2022-08-23 00:00:00;48;wwipl;;;
2022-12-16 00:00:00;45;wwipl;;;
2022-12-26 00:00:00;44;wwipl;;;
2023-03-03 00:00:00;38;wwipl;;;
2023-03-04 00:00:00;37;wwipl;;;
2023-05-05 00:00:00;32;wwipl;;;
2023-05-16 00:00:00;32.2;wwipl;;;
2023-07-03 00:00:00;29;wwipl;;;
2023-07-05 00:00:00;27;wwipl;;;
2023-07-06 00:00:00;25;wwipl;;;
2023-07-11 00:00:00;26;wwipl;;;
2023-07-12 00:00:00;27;wwipl;;;
2023-07-20 00:00:00;28;wwipl;;;
2023-07-25 00:00:00;29;wwipl;;;
2023-08-08 00:00:00;31;wwipl;;;
2023-08-10 00:00:00;31.1;wwipl;;;
2023-08-16 00:00:00;33;wwipl;;;
2023-08-17 00:00:00;33.1;wwipl;;;
2023-08-31 00:00:00;33;wwipl;;;
2023-08-31 00:00:00;32;wwipl;;;
2023-09-07 00:00:00;26;wwipl;;;
2023-09-08 00:00:00;25;wwipl;;;
2023-10-21 00:00:00;24;wwipl;;;
2023-11-17 00:00:00;20;wwipl;;;
2023-11-17 00:00:00;22;wwipl;;;
2023-11-20 00:00:00;21.9;wwipl;;;
2023-12-07 00:00:00;22;wwipl;;;
2024-02-26 00:00:00;20;wwipl;;;
2024-03-08 00:00:00;19;wwipl;;;
2024-03-09 00:00:00;19.2;wwipl;;;
2024-03-21 00:00:00;20;wwipl;;;
2024-04-26 00:00:00;19.5;wwipl;;;
2024-05-26 00:00:00;20;wwipl;;;
2024-07-04 00:00:00;21;wwipl;;;
2024-07-10 00:00:00;23;wwipl;;;
2024-07-11 00:00:00;25;wwipl;;;
2024-07-12 00:00:00;26;wwipl;;;
2024-07-23 00:00:00;26.25;wwipl;;;
2024-08-09 00:00:00;26;wwipl;;;
2024-09-06 00:00:00;25;wwipl;;;
2025-03-05 00:00:00;24;wwipl;;;
2025-05-03 00:00:00;22;wwipl;;;
2026-03-28 00:00:00;21;wwipl;;;
