Datetime;Price;Source;Tag;Note;Link
2022-05-15 00:00:00;100;wwipl;;;
2023-06-10 00:00:00;120;wwipl;;;
2023-06-12 00:00:00;140;wwipl;;;
2023-06-13 00:00:00;150;wwipl;;;
2023-06-14 00:00:00;155;wwipl;;;
2023-06-15 00:00:00;164;wwipl;;;
2023-06-16 00:00:00;170;wwipl;;;
2023-06-30 00:00:00;171;wwipl;;;
2023-09-21 00:00:00;175;wwipl;;;
2024-08-16 00:00:00;185;wwipl;;;
2024-08-17 00:00:00;195;wwipl;;;
2024-08-20 00:00:00;197;wwipl;;;
2025-01-17 00:00:00;205;wwipl;;;
2025-01-28 00:00:00;210;wwipl;;;
2025-04-23 00:00:00;205;wwipl;;;
