Datetime;Price;Source;Tag;Note;Link
2021-09-15 00:00:00;200;wwipl;;;
2022-05-05 00:00:00;270;wwipl;;;
2022-05-09 00:00:00;260;wwipl;;;
2022-05-15 00:00:00;220;wwipl;;;
2022-05-20 00:00:00;200;wwipl;;;
2022-05-27 00:00:00;202;wwipl;;;
2022-09-06 00:00:00;205;wwipl;;;
2023-01-06 00:00:00;200;wwipl;;;
2023-06-10 00:00:00;190;wwipl;;;
2023-06-23 00:00:00;191;wwipl;;;
2023-07-27 00:00:00;190;wwipl;;;
2024-03-18 00:00:00;200;wwipl;;;
2024-03-19 00:00:00;205;wwipl;;;
2024-06-13 00:00:00;220;wwipl;;;
2024-06-14 00:00:00;230;wwipl;;;
2024-06-15 00:00:00;235;wwipl;;;
2024-08-30 00:00:00;240;wwipl;;;
2025-07-18 00:00:00;245;wwipl;;;
2025-07-20 00:00:00;250;wwipl;;;
2025-10-30 00:00:00;275;wwipl;;;
2026-02-01 00:00:00;280;wwipl;;;
2026-03-09 00:00:00;275;wwipl;;;
2026-03-26 00:00:00;280;wwipl;;;
