Datetime;Price;Source;Tag;Note;Link
2019-05-31 00:00:00;130;wwipl;;;
2019-06-09 00:00:00;134;wwipl;;;
2019-06-16 00:00:00;133;wwipl;;;
2019-06-24 00:00:00;135;wwipl;;;
2019-07-04 00:00:00;140;wwipl;;;
2019-07-11 00:00:00;143;wwipl;;;
2019-07-19 00:00:00;145;wwipl;;;
2019-07-23 00:00:00;141;wwipl;;;
2019-07-30 00:00:00;140;wwipl;;;
2019-08-07 00:00:00;130;wwipl;;;
2019-08-12 00:00:00;132;wwipl;;;
2019-08-20 00:00:00;127;wwipl;;;
2019-08-28 00:00:00;122;wwipl;;;
2019-09-03 00:00:00;117;wwipl;;;
2019-09-11 00:00:00;116;wwipl;;;
2019-09-18 00:00:00;120;wwipl;;;
2019-09-25 00:00:00;126;wwipl;;;
2019-10-03 00:00:00;130;wwipl;;;
2019-10-10 00:00:00;133;wwipl;;;
2019-10-17 00:00:00;130;wwipl;;;
2019-10-23 00:00:00;131;wwipl;;;
2019-11-01 00:00:00;138;wwipl;;;
2019-11-09 00:00:00;140;wwipl;;;
2019-11-16 00:00:00;144;wwipl;;;
2019-11-24 00:00:00;148;wwipl;;;
2019-12-03 00:00:00;151;wwipl;;;
2019-12-08 00:00:00;153;wwipl;;;
2019-12-14 00:00:00;155;wwipl;;;
2019-12-20 00:00:00;152;wwipl;;;
2019-12-28 00:00:00;155;wwipl;;;
2020-01-04 00:00:00;151;wwipl;;;
2020-01-11 00:00:00;150;wwipl;;;
2020-01-18 00:00:00;145;wwipl;;;
2020-01-24 00:00:00;141;wwipl;;;
2020-01-31 00:00:00;145;wwipl;;;
2020-02-08 00:00:00;140;wwipl;;;
2020-02-17 00:00:00;134;wwipl;;;
2020-02-22 00:00:00;130;wwipl;;;
2020-03-01 00:00:00;126;wwipl;;;
2020-03-07 00:00:00;120;wwipl;;;
2020-03-12 00:00:00;112;wwipl;;;
2020-03-17 00:00:00;108;wwipl;;;
2020-03-18 00:00:00;104;wwipl;;;
2020-03-19 00:00:00;100;wwipl;;;
2020-03-28 00:00:00;102;wwipl;;;
2020-04-02 00:00:00;105;wwipl;;;
2020-04-09 00:00:00;110;wwipl;;;
2020-04-18 00:00:00;109;wwipl;;;
2020-04-27 00:00:00;110;wwipl;;;
2020-05-02 00:00:00;108;wwipl;;;
2020-05-07 00:00:00;111;wwipl;;;
2020-05-16 00:00:00;112;wwipl;;;
2020-05-22 00:00:00;110;wwipl;;;
2020-05-28 00:00:00;113;wwipl;;;
2020-06-04 00:00:00;112;wwipl;;;
2020-06-10 00:00:00;114;wwipl;;;
2020-06-18 00:00:00;117;wwipl;;;
2020-06-22 00:00:00;119;wwipl;;;
2020-06-27 00:00:00;123;wwipl;;;
2020-06-30 00:00:00;125;wwipl;;;
2020-07-01 00:00:00;127;wwipl;;;
2020-07-04 00:00:00;135;wwipl;;;
2020-07-10 00:00:00;140;wwipl;;;
2020-07-15 00:00:00;155;wwipl;;;
2020-07-19 00:00:00;165;wwipl;;;
2020-07-24 00:00:00;176;wwipl;;;
2020-07-30 00:00:00;180;wwipl;;;
2020-07-31 00:00:00;185;wwipl;;;
2020-08-01 00:00:00;190;wwipl;;;
2020-08-04 00:00:00;195;wwipl;;;
2020-08-07 00:00:00;200;wwipl;;;
2020-08-12 00:00:00;190;wwipl;;;
2020-08-16 00:00:00;180;wwipl;;;
2020-08-21 00:00:00;170;wwipl;;;
2020-08-26 00:00:00;160;wwipl;;;
2020-08-31 00:00:00;150;wwipl;;;
2020-09-05 00:00:00;147;wwipl;;;
2020-09-13 00:00:00;140;wwipl;;;
2020-09-19 00:00:00;144;wwipl;;;
2020-09-25 00:00:00;137;wwipl;;;
2020-09-30 00:00:00;131;wwipl;;;
2020-10-01 00:00:00;127;wwipl;;;
2020-10-06 00:00:00;140;wwipl;;;
2020-10-10 00:00:00;135;wwipl;;;
2020-10-14 00:00:00;130;wwipl;;;
2020-10-18 00:00:00;128;wwipl;;;
2020-10-21 00:00:00;125;wwipl;;;
2020-10-25 00:00:00;123;wwipl;;;
2020-10-29 00:00:00;121;wwipl;;;
2020-11-02 00:00:00;120;wwipl;;;
2020-11-06 00:00:00;121;wwipl;;;
2020-11-10 00:00:00;122;wwipl;;;
2020-11-14 00:00:00;123;wwipl;;;
2020-11-19 00:00:00;122;wwipl;;;
2020-11-24 00:00:00;121;wwipl;;;
2020-11-29 00:00:00;120;wwipl;;;
2020-12-04 00:00:00;119;wwipl;;;
2020-12-09 00:00:00;118;wwipl;;;
2020-12-12 00:00:00;121;wwipl;;;
2020-12-16 00:00:00;123;wwipl;;;
2020-12-20 00:00:00;125;wwipl;;;
2020-12-24 00:00:00;127;wwipl;;;
2020-12-28 00:00:00;129;wwipl;;;
2021-01-01 00:00:00;135;wwipl;;;
2021-01-06 00:00:00;136;wwipl;;;
2021-01-11 00:00:00;137;wwipl;;;
2021-01-16 00:00:00;138;wwipl;;;
2021-02-15 00:00:00;144;wwipl;;;
2021-02-20 00:00:00;145;wwipl;;;
2021-02-27 00:00:00;145;wwipl;;;
2021-03-02 00:00:00;150;wwipl;;;
2021-03-08 00:00:00;160;wwipl;;;
2021-03-15 00:00:00;155;wwipl;;;
2021-03-20 00:00:00;160;wwipl;;;
2021-03-25 00:00:00;165;wwipl;;;
2021-03-31 00:00:00;170;wwipl;;;
2021-04-05 00:00:00;175;wwipl;;;
2021-04-10 00:00:00;180;wwipl;;;
2021-04-21 00:00:00;180;wwipl;;;
2021-04-22 00:00:00;185;wwipl;;;
2021-04-24 00:00:00;190;wwipl;;;
2021-04-30 00:00:00;195;wwipl;;;
2021-05-06 00:00:00;200;wwipl;;;
2021-05-11 00:00:00;195;wwipl;;;
2021-05-17 00:00:00;190;wwipl;;;
2021-05-23 00:00:00;185;wwipl;;;
2021-05-29 00:00:00;195;wwipl;;;
2021-06-04 00:00:00;205;wwipl;;;
2021-06-09 00:00:00;210;wwipl;;;
2021-06-15 00:00:00;215;wwipl;;;
2021-06-21 00:00:00;220;wwipl;;;
2021-06-28 00:00:00;209;wwipl;;;
2021-07-03 00:00:00;215;wwipl;;;
2021-07-08 00:00:00;224;wwipl;;;
2021-07-14 00:00:00;230;wwipl;;;
2021-07-19 00:00:00;240;wwipl;;;
2021-07-24 00:00:00;248;wwipl;;;
2021-07-28 00:00:00;255;wwipl;;;
2021-07-31 00:00:00;265;wwipl;;;
2021-08-04 00:00:00;260;wwipl;;;
2021-08-20 00:00:00;255;wwipl;;;
2021-08-25 00:00:00;225;wwipl;;;
2021-09-01 00:00:00;220;wwipl;;;
2021-09-04 00:00:00;225;wwipl;;;
2021-09-28 00:00:00;230;wwipl;;;
2021-10-05 00:00:00;250;wwipl;;;
2021-10-19 00:00:00;265;wwipl;;;
2021-10-24 00:00:00;275;wwipl;;;
2021-10-29 00:00:00;290;wwipl;;;
2021-10-29 00:00:00;290;wwipl;;;
2021-12-10 00:00:00;250;wwipl;;;
2021-12-13 00:00:00;275;wwipl;;;
2021-12-18 00:00:00;270;wwipl;;;
2021-12-31 00:00:00;250;wwipl;;;
2022-01-06 00:00:00;225;wwipl;;;
2022-03-07 00:00:00;200;wwipl;;;
2022-03-09 00:00:00;190;wwipl;;;
2022-03-23 00:00:00;200;wwipl;;;
2022-03-23 00:00:00;180;wwipl;;;
2022-03-24 00:00:00;170;wwipl;;;
2022-03-29 00:00:00;169;wwipl;;;
2022-04-07 00:00:00;166;wwipl;;;
2022-04-18 00:00:00;161;wwipl;;;
2022-05-10 00:00:00;163;wwipl;;;
2022-05-19 00:00:00;165;wwipl;;;
2022-06-22 00:00:00;150;wwipl;;;
2022-07-05 00:00:00;140;wwipl;;;
2022-08-13 00:00:00;141;wwipl;;;
2022-08-18 00:00:00;150;wwipl;;;
2022-08-22 00:00:00;151;wwipl;;;
2022-11-19 00:00:00;152;wwipl;;;
2022-12-12 00:00:00;150;wwipl;;;
2023-04-24 00:00:00;155;wwipl;;;
2023-05-03 00:00:00;160;wwipl;;;
2023-05-13 00:00:00;165;wwipl;;;
2023-05-16 00:00:00;170;wwipl;;;
2023-05-25 00:00:00;175;wwipl;;;
2023-05-27 00:00:00;180;wwipl;;;
2023-05-31 00:00:00;185;wwipl;;;
2023-06-06 00:00:00;190;wwipl;;;
2023-06-06 00:00:00;195;wwipl;;;
