Datetime;Price;Source;Tag;Note;Link
2021-11-20 00:00:00;65;wwipl;;;
2021-12-01 00:00:00;67;wwipl;;;
2021-12-03 00:00:00;67.5;wwipl;;;
2022-02-09 00:00:00;70;wwipl;;;
2022-02-11 00:00:00;69;wwipl;;;
2022-04-15 00:00:00;65;wwipl;;;
2022-04-19 00:00:00;54;wwipl;;;
2022-04-20 00:00:00;55;wwipl;;;
2022-04-21 00:00:00;55.5;wwipl;;;
2022-04-21 00:00:00;56;wwipl;;;
2022-04-29 00:00:00;53;wwipl;;;
2022-05-15 00:00:00;50;wwipl;;;
2022-05-24 00:00:00;48;wwipl;;;
2022-06-23 00:00:00;46;wwipl;;;
2022-07-18 00:00:00;43;wwipl;;;
2022-07-26 00:00:00;47;wwipl;;;
2022-08-05 00:00:00;47.5;wwipl;;;
2022-12-01 00:00:00;50;wwipl;;;
2022-12-12 00:00:00;52;wwipl;;;
2022-12-29 00:00:00;53;wwipl;;;
2023-04-10 00:00:00;54;wwipl;;;
2023-05-04 00:00:00;55;wwipl;;;
2023-05-17 00:00:00;57;wwipl;;;
2023-05-24 00:00:00;58;wwipl;;;
2023-05-27 00:00:00;60;wwipl;;;
2023-05-29 00:00:00;63;wwipl;;;
2023-06-01 00:00:00;65;wwipl;;;
2023-06-17 00:00:00;61;wwipl;;;
2023-06-19 00:00:00;60;wwipl;;;
2023-06-20 00:00:00;57;wwipl;;;
2023-06-22 00:00:00;58;wwipl;;;
2023-07-03 00:00:00;55;wwipl;;;
2023-07-08 00:00:00;60;wwipl;;;
2023-07-10 00:00:00;59;wwipl;;;
2023-07-18 00:00:00;60;wwipl;;;
2023-10-03 00:00:00;65;wwipl;;;
2023-10-10 00:00:00;67;wwipl;;;
2023-11-30 00:00:00;70;wwipl;;;
2023-12-02 00:00:00;71;wwipl;;;
2024-03-30 00:00:00;74;wwipl;;;
2024-03-31 00:00:00;78;wwipl;;;
2024-04-01 00:00:00;80;wwipl;;;
2024-04-03 00:00:00;82;wwipl;;;
2024-04-11 00:00:00;85;wwipl;;;
2024-05-01 00:00:00;90;wwipl;;;
2024-05-02 00:00:00;89;wwipl;;;
2024-06-07 00:00:00;85;wwipl;;;
2024-06-10 00:00:00;86;wwipl;;;
2024-06-16 00:00:00;90;wwipl;;;
2024-06-25 00:00:00;91;wwipl;;;
2024-07-24 00:00:00;92;wwipl;;;
2024-07-25 00:00:00;95;wwipl;;;
2024-08-08 00:00:00;100;wwipl;;;
2024-08-16 00:00:00;101;wwipl;;;
2024-09-07 00:00:00;105;wwipl;;;
2024-09-15 00:00:00;106;wwipl;;;
2025-04-28 00:00:00;99;wwipl;;;
2025-04-29 00:00:00;95;wwipl;;;
2025-04-30 00:00:00;92;wwipl;;;
2025-05-08 00:00:00;90;wwipl;;;
2025-07-20 00:00:00;95;wwipl;;;
2025-07-21 00:00:00;105;wwipl;;;
2025-11-08 00:00:00;120;wwipl;;;
2026-03-12 00:00:00;108;wwipl;;;
2026-03-13 00:00:00;102;wwipl;;;
