Datetime;Price;Source;Tag;Note;Link
2019-05-31 00:00:00;162;wwipl;;;
2019-06-16 00:00:00;165.2;wwipl;;;
2019-06-21 00:00:00;163.2;wwipl;;;
2019-07-25 00:00:00;170;wwipl;;;
2019-08-10 00:00:00;163.6;wwipl;;;
2019-10-05 00:00:00;175;wwipl;;;
2019-10-26 00:00:00;167;wwipl;;;
2020-02-09 00:00:00;196;wwipl;;;
2020-03-01 00:00:00;188;wwipl;;;
2020-04-03 00:00:00;200;wwipl;;;
2020-04-06 00:00:00;206;wwipl;;;
2020-04-08 00:00:00;202;wwipl;;;
2020-04-09 00:00:00;203;wwipl;;;
2020-04-10 00:00:00;201;wwipl;;;
2020-04-14 00:00:00;209;wwipl;;;
2020-04-17 00:00:00;202;wwipl;;;
2020-04-21 00:00:00;210;wwipl;;;
2020-04-24 00:00:00;203;wwipl;;;
2020-04-28 00:00:00;207;wwipl;;;
2020-05-01 00:00:00;204;wwipl;;;
2020-05-05 00:00:00;208;wwipl;;;
2020-05-08 00:00:00;205;wwipl;;;
2020-05-12 00:00:00;209;wwipl;;;
2020-05-15 00:00:00;206;wwipl;;;
2020-05-19 00:00:00;210;wwipl;;;
2020-05-26 00:00:00;212;wwipl;;;
2020-06-02 00:00:00;206;wwipl;;;
2020-06-04 00:00:00;208;wwipl;;;
2020-06-08 00:00:00;210;wwipl;;;
2020-06-09 00:00:00;209;wwipl;;;
2020-06-18 00:00:00;200.4;wwipl;;;
2020-06-19 00:00:00;201;wwipl;;;
2020-06-20 00:00:00;200.4;wwipl;;;
2020-06-26 00:00:00;198;wwipl;;;
2020-07-02 00:00:00;201.6;wwipl;;;
2020-07-16 00:00:00;207.6;wwipl;;;
2020-07-17 00:00:00;207;wwipl;;;
2020-07-18 00:00:00;207.6;wwipl;;;
2020-07-23 00:00:00;210.6;wwipl;;;
2020-07-24 00:00:00;210;wwipl;;;
2020-07-25 00:00:00;210.6;wwipl;;;
2020-07-28 00:00:00;212.4;wwipl;;;
2020-07-31 00:00:00;210;wwipl;;;
2020-08-01 00:00:00;210.6;wwipl;;;
2020-08-02 00:00:00;210;wwipl;;;
2020-08-05 00:00:00;211.8;wwipl;;;
2020-08-07 00:00:00;210;wwipl;;;
2020-08-11 00:00:00;212;wwipl;;;
2020-08-14 00:00:00;210;wwipl;;;
2020-08-15 00:00:00;213.2;wwipl;;;
2020-09-16 00:00:00;226;wwipl;;;
2020-09-19 00:00:00;231;wwipl;;;
2020-09-22 00:00:00;227;wwipl;;;
2020-09-27 00:00:00;234;wwipl;;;
2020-09-30 00:00:00;229;wwipl;;;
2020-10-05 00:00:00;237;wwipl;;;
2020-10-07 00:00:00;233;wwipl;;;
2020-10-15 00:00:00;238.4;wwipl;;;
2020-10-16 00:00:00;238;wwipl;;;
2020-10-22 00:00:00;240.4;wwipl;;;
2020-11-12 00:00:00;263.4;wwipl;;;
2020-11-13 00:00:00;262;wwipl;;;
2020-11-29 00:00:00;282;wwipl;;;
2020-11-30 00:00:00;280;wwipl;;;
2020-12-02 00:00:00;277;wwipl;;;
2020-12-31 00:00:00;401;wwipl;;;
2021-01-01 00:00:00;400;wwipl;;;
2021-01-15 00:00:00;500;wwipl;;;
2021-01-28 00:00:00;357;wwipl;;;
2021-02-12 00:00:00;400;wwipl;;;
2021-02-19 00:00:00;380;wwipl;;;
2021-03-08 00:00:00;393;wwipl;;;
2021-04-09 00:00:00;355;wwipl;;;
2021-04-10 00:00:00;359;wwipl;;;
2021-04-22 00:00:00;396.8;wwipl;;;
2021-04-23 00:00:00;396;wwipl;;;
2021-04-29 00:00:00;400.8;wwipl;;;
2021-04-30 00:00:00;400;wwipl;;;
2021-05-06 00:00:00;442;wwipl;;;
2021-05-07 00:00:00;440;wwipl;;;
2021-05-11 00:00:00;444;wwipl;;;
2021-05-14 00:00:00;440;wwipl;;;
2021-05-18 00:00:00;444;wwipl;;;
2021-05-21 00:00:00;440;wwipl;;;
2021-05-25 00:00:00;444;wwipl;;;
2021-06-04 00:00:00;420;wwipl;;;
2021-06-12 00:00:00;453;wwipl;;;
2021-06-18 00:00:00;520;wwipl;;;
2021-07-02 00:00:00;390;wwipl;;;
2021-07-09 00:00:00;500;wwipl;;;
2021-07-23 00:00:00;450;wwipl;;;
2021-08-19 00:00:00;542;wwipl;;;
2021-08-20 00:00:00;540;wwipl;;;
2021-09-04 00:00:00;624;wwipl;;;
2021-09-10 00:00:00;600;wwipl;;;
2021-09-17 00:00:00;640;wwipl;;;
2021-10-01 00:00:00;580;wwipl;;;
2021-10-10 00:00:00;600;wwipl;;;
2021-10-20 00:00:00;620;wwipl;;;
2021-11-01 00:00:00;640;wwipl;;;
2021-11-12 00:00:00;650;wwipl;;;
2021-11-26 00:00:00;660;wwipl;;;
2021-11-26 00:00:00;660;wwipl;;;
2021-11-27 00:00:00;680;wwipl;;;
2021-11-29 00:00:00;690;wwipl;;;
2021-12-03 00:00:00;670;wwipl;;;
2021-12-04 00:00:00;680;wwipl;;;
2021-12-05 00:00:00;690;wwipl;;;
2021-12-06 00:00:00;700;wwipl;;;
2021-12-07 00:00:00;710;wwipl;;;
2021-12-08 00:00:00;720;wwipl;;;
2021-12-09 00:00:00;730;wwipl;;;
2021-12-10 00:00:00;740;wwipl;;;
2021-12-11 00:00:00;750;wwipl;;;
2021-12-12 00:00:00;760;wwipl;;;
2021-12-13 00:00:00;770;wwipl;;;
2021-12-14 00:00:00;780;wwipl;;;
2021-12-15 00:00:00;790;wwipl;;;
2021-12-16 00:00:00;800;wwipl;;;
2021-12-16 00:00:00;700;wwipl;;;
2021-12-24 00:00:00;720;wwipl;;;
2021-12-25 00:00:00;760;wwipl;;;
2021-12-27 00:00:00;690;wwipl;;;
2022-01-06 00:00:00;720;wwipl;;;
2022-01-07 00:00:00;705;wwipl;;;
2022-01-07 00:00:00;740;wwipl;;;
2022-01-12 00:00:00;720;wwipl;;;
2022-01-14 00:00:00;680;wwipl;;;
2022-01-21 00:00:00;740;wwipl;;;
2022-01-21 00:00:00;730;wwipl;;;
2022-01-27 00:00:00;720;wwipl;;;
2022-01-28 00:00:00;707;wwipl;;;
2022-01-28 00:00:00;710;wwipl;;;
2022-02-18 00:00:00;720;wwipl;;;
2022-02-18 00:00:00;720;wwipl;;;
2022-02-24 00:00:00;705;wwipl;;;
2022-03-07 00:00:00;670;wwipl;;;
2022-03-24 00:00:00;690;wwipl;;;
2022-04-04 00:00:00;700;wwipl;;;
2022-04-14 00:00:00;690;wwipl;;;
2022-04-18 00:00:00;684;wwipl;;;
2022-04-21 00:00:00;685.4;wwipl;;;
2022-05-05 00:00:00;684;wwipl;;;
2022-05-20 00:00:00;682.2;wwipl;;;
2022-06-06 00:00:00;684;wwipl;;;
2022-06-17 00:00:00;640;wwipl;;;
2022-06-21 00:00:00;640;wwipl;;;
2022-06-24 00:00:00;630;wwipl;;;
2022-06-27 00:00:00;620;wwipl;;;
2022-07-01 00:00:00;610;wwipl;;;
2022-08-22 00:00:00;620;wwipl;;;
2022-08-31 00:00:00;610;wwipl;;;
2022-09-12 00:00:00;630;wwipl;;;
2022-09-27 00:00:00;620;wwipl;;;
2022-10-15 00:00:00;610;wwipl;;;
2022-11-11 00:00:00;620;wwipl;;;
2022-11-19 00:00:00;610;wwipl;;;
2022-11-28 00:00:00;620;wwipl;;;
2022-12-13 00:00:00;630;wwipl;;;
2023-01-24 00:00:00;620;wwipl;;;
2023-02-04 00:00:00;640;wwipl;;;
2023-02-07 00:00:00;630;wwipl;;;
2023-02-23 00:00:00;625;wwipl;;;
2023-03-03 00:00:00;620;wwipl;;;
2023-05-30 00:00:00;640;wwipl;;;
2023-06-10 00:00:00;650;wwipl;;;
2023-06-12 00:00:00;660;wwipl;;;
2023-06-13 00:00:00;670;wwipl;;;
2023-07-07 00:00:00;660;wwipl;;;
2023-09-15 00:00:00;664;wwipl;;;
2023-09-18 00:00:00;670;wwipl;;;
2023-09-30 00:00:00;680;wwipl;;;
2023-10-13 00:00:00;680;wwipl;;;
2023-10-19 00:00:00;686;wwipl;;;
2023-10-19 00:00:00;690;wwipl;;;
2023-12-08 00:00:00;700;wwipl;;;
2023-12-27 00:00:00;710;wwipl;;;
2023-12-30 00:00:00;720;wwipl;;;
2024-01-04 00:00:00;732;wwipl;;;
2024-01-05 00:00:00;740;wwipl;;;
2024-01-05 00:00:00;760;wwipl;;;
2024-01-07 00:00:00;770;wwipl;;;
2024-01-08 00:00:00;780;wwipl;;;
2024-01-16 00:00:00;790;wwipl;;;
2024-01-16 00:00:00;780;wwipl;;;
2024-01-17 00:00:00;790;wwipl;;;
2024-01-18 00:00:00;800;wwipl;;;
2024-01-19 00:00:00;810;wwipl;;;
2024-01-20 00:00:00;820;wwipl;;;
2024-01-22 00:00:00;840;wwipl;;;
2024-01-24 00:00:00;850;wwipl;;;
2024-02-07 00:00:00;860;wwipl;;;
2024-02-28 00:00:00;940;wwipl;;;
2024-03-01 00:00:00;900;wwipl;;;
2024-03-03 00:00:00;909;wwipl;;;
2024-03-14 00:00:00;900;wwipl;;;
2024-04-23 00:00:00;910;wwipl;;;
2024-04-24 00:00:00;920;wwipl;;;
2024-05-01 00:00:00;940;wwipl;;;
2024-05-03 00:00:00;950;wwipl;;;
2024-05-04 00:00:00;960;wwipl;;;
2024-05-05 00:00:00;970;wwipl;;;
2024-05-06 00:00:00;980;wwipl;;;
2024-05-06 00:00:00;990;wwipl;;;
2024-05-07 00:00:00;1000;wwipl;;;
2024-05-10 00:00:00;1020;wwipl;;;
2024-05-11 00:00:00;1040;wwipl;;;
2024-05-12 00:00:00;1060;wwipl;;;
2024-05-13 00:00:00;1080;wwipl;;;
2024-05-15 00:00:00;1100;wwipl;;;
2024-05-20 00:00:00;1120;wwipl;;;
2024-05-20 00:00:00;1140;wwipl;;;
2024-05-20 00:00:00;1160;wwipl;;;
2024-05-21 00:00:00;1200;wwipl;;;
2024-05-27 00:00:00;1180;wwipl;;;
2024-05-29 00:00:00;1160;wwipl;;;
2024-06-07 00:00:00;1140;wwipl;;;
2024-06-09 00:00:00;1130;wwipl;;;
2024-06-10 00:00:00;1120;wwipl;;;
2024-07-09 00:00:00;1140;wwipl;;;
2024-07-31 00:00:00;1160;wwipl;;;
2024-08-05 00:00:00;1140;wwipl;;;
2024-08-06 00:00:00;1120;wwipl;;;
2024-08-27 00:00:00;1110;wwipl;;;
2024-08-27 00:00:00;1120;wwipl;;;
2024-08-28 00:00:00;1140;wwipl;;;
2024-09-01 00:00:00;1150;wwipl;;;
2024-09-02 00:00:00;1160;wwipl;;;
2024-09-07 00:00:00;1180;wwipl;;;
2024-09-08 00:00:00;1190;wwipl;;;
2024-09-09 00:00:00;1200;wwipl;;;
2024-09-17 00:00:00;1210;wwipl;;;
2024-09-18 00:00:00;1220;wwipl;;;
2024-09-19 00:00:00;1230;wwipl;;;
2024-09-20 00:00:00;1250;wwipl;;;
2024-09-20 00:00:00;1300;wwipl;;;
2024-09-21 00:00:00;1320;wwipl;;;
2024-09-24 00:00:00;1340;wwipl;;;
2024-09-24 00:00:00;1360;wwipl;;;
2024-09-25 00:00:00;1400;wwipl;;;
2024-09-28 00:00:00;1420;wwipl;;;
2024-09-30 00:00:00;1440;wwipl;;;
2024-10-03 00:00:00;1460;wwipl;;;
2024-10-04 00:00:00;1480;wwipl;;;
2024-10-05 00:00:00;1500;wwipl;;;
2024-10-11 00:00:00;1520;wwipl;;;
2024-10-15 00:00:00;1540;wwipl;;;
2024-10-17 00:00:00;1560;wwipl;;;
2024-10-19 00:00:00;1580;wwipl;;;
2024-10-20 00:00:00;1600;wwipl;;;
2024-11-05 00:00:00;1700;wwipl;;;
2024-11-05 00:00:00;1700;wwipl;;;
2024-11-06 00:00:00;1750;wwipl;;;
