Datetime;Price;Source;Tag;Note;Link
2021-12-08 00:00:00;300;wwipl;;;
2021-12-13 00:00:00;305;wwipl;;;
2021-12-18 00:00:00;306;wwipl;;;
2022-09-12 00:00:00;293;wwipl;;;
2023-01-14 00:00:00;295;wwipl;;;
2023-07-14 00:00:00;200;wwipl;;;
2023-07-18 00:00:00;202;wwipl;;;
2023-10-11 00:00:00;195;wwipl;;;
2023-10-17 00:00:00;190;wwipl;;;
2024-01-15 00:00:00;200;wwipl;;;
2024-01-16 00:00:00;210;wwipl;;;
2024-01-29 00:00:00;211;wwipl;;;
2024-05-25 00:00:00;225;wwipl;;;
2024-05-27 00:00:00;240;wwipl;;;
2024-05-28 00:00:00;250;wwipl;;;
2024-05-29 00:00:00;260;wwipl;;;
2024-05-31 00:00:00;262;wwipl;;;
2024-12-16 00:00:00;270;wwipl;;;
2025-04-22 00:00:00;275;wwipl;;;
2025-05-29 00:00:00;300;wwipl;;;
2025-06-15 00:00:00;310;wwipl;;;
