Datetime;Price;Source;Tag;Note;Link
2023-01-27 00:00:00;1000;wwipl;;;
2023-08-18 00:00:00;1100;wwipl;;;
2023-08-21 00:00:00;1200;wwipl;;;
2023-08-23 00:00:00;1207;wwipl;;;
2024-10-26 00:00:00;1400;wwipl;;;
2024-10-27 00:00:00;1500;wwipl;;;
2024-11-02 00:00:00;1750;wwipl;;;
2024-11-03 00:00:00;2000;wwipl;;;
2024-11-04 00:00:00;2100;wwipl;;;
2024-11-06 00:00:00;2500;wwipl;;;
2024-11-07 00:00:00;2700;wwipl;;;
2024-11-08 00:00:00;2850;wwipl;;;
2024-11-09 00:00:00;3000;wwipl;;;
2024-11-10 00:00:00;3100;wwipl;;;
2024-11-28 00:00:00;3150;wwipl;;;
