Datetime;Price;Source;Tag;Note;Link
2023-07-15 00:00:00;84;wwipl;;;
2023-07-15 00:00:00;80;wwipl;;;
2023-07-16 00:00:00;79;wwipl;;;
2023-07-21 00:00:00;77;wwipl;;;
2023-07-24 00:00:00;72;wwipl;;;
2023-07-24 00:00:00;73;wwipl;;;
2023-07-28 00:00:00;77;wwipl;;;
2023-07-28 00:00:00;80;wwipl;;;
2023-07-28 00:00:00;83;wwipl;;;
2023-07-30 00:00:00;80;wwipl;;;
2023-08-04 00:00:00;79;wwipl;;;
2023-08-08 00:00:00;76;wwipl;;;
2023-08-08 00:00:00;80;wwipl;;;
2023-08-10 00:00:00;78;wwipl;;;
2023-08-12 00:00:00;77;wwipl;;;
2023-08-12 00:00:00;80;wwipl;;;
2023-08-16 00:00:00;84;wwipl;;;
2023-08-16 00:00:00;86;wwipl;;;
2023-08-30 00:00:00;90;wwipl;;;
2023-09-10 00:00:00;91;wwipl;;;
2023-09-27 00:00:00;100;wwipl;;;
2023-09-28 00:00:00;101;wwipl;;;
2023-10-02 00:00:00;110;wwipl;;;
2023-10-03 00:00:00;111;wwipl;;;
2023-10-07 00:00:00;115;wwipl;;;
2023-11-23 00:00:00;120;wwipl;;;
2023-11-27 00:00:00;124.6;wwipl;;;
2023-11-30 00:00:00;134;wwipl;;;
2023-12-01 00:00:00;136;wwipl;;;
2023-12-02 00:00:00;140;wwipl;;;
2023-12-06 00:00:00;141.4;wwipl;;;
2023-12-24 00:00:00;160;wwipl;;;
2023-12-25 00:00:00;162;wwipl;;;
2023-12-29 00:00:00;165;wwipl;;;
2024-01-02 00:00:00;170;wwipl;;;
2024-01-10 00:00:00;180;wwipl;;;
2024-01-17 00:00:00;184;wwipl;;;
2024-01-21 00:00:00;182;wwipl;;;
2024-01-30 00:00:00;186;wwipl;;;
2024-02-01 00:00:00;190;wwipl;;;
2024-02-09 00:00:00;194;wwipl;;;
2024-02-13 00:00:00;195;wwipl;;;
2024-02-19 00:00:00;195;wwipl;;;
2024-02-19 00:00:00;195;wwipl;;;
2024-02-19 00:00:00;195;wwipl;;;
2024-03-05 00:00:00;195;wwipl;;;
2024-03-05 00:00:00;190;wwipl;;;
2024-03-13 00:00:00;185;wwipl;;;
2024-03-14 00:00:00;174;wwipl;;;
2024-03-14 00:00:00;170;wwipl;;;
2024-03-14 00:00:00;164;wwipl;;;
2024-03-15 00:00:00;170;wwipl;;;
2024-03-16 00:00:00;175;wwipl;;;
2024-03-18 00:00:00;170;wwipl;;;
2024-03-19 00:00:00;168;wwipl;;;
2024-03-21 00:00:00;165;wwipl;;;
2024-04-01 00:00:00;160;wwipl;;;
2024-04-02 00:00:00;159;wwipl;;;
2024-04-03 00:00:00;158;wwipl;;;
2024-04-12 00:00:00;156;wwipl;;;
