Datetime;Price;Source;Tag;Note;Link
2021-09-05 00:00:00;250;wwipl;;;
2021-12-20 00:00:00;225;wwipl;;;
2021-12-21 00:00:00;220;wwipl;;;
2021-12-28 00:00:00;216;wwipl;;;
2022-01-15 00:00:00;217;wwipl;;;
2022-02-26 00:00:00;190;wwipl;;;
2022-02-27 00:00:00;191;wwipl;;;
2022-05-19 00:00:00;190;wwipl;;;
2022-12-23 00:00:00;140;wwipl;;;
2022-12-24 00:00:00;139;wwipl;;;
2023-05-03 00:00:00;140;wwipl;;;
2023-12-28 00:00:00;150;wwipl;;;
2023-12-30 00:00:00;151;wwipl;;;
2024-04-29 00:00:00;165;wwipl;;;
2024-04-30 00:00:00;175;wwipl;;;
2024-04-30 00:00:00;180;wwipl;;;
2024-09-27 00:00:00;200;wwipl;;;
2024-09-28 00:00:00;215;wwipl;;;
2024-09-29 00:00:00;250;wwipl;;;
2024-10-03 00:00:00;270;wwipl;;;
2024-10-06 00:00:00;300;wwipl;;;
2024-10-07 00:00:00;310;wwipl;;;
2024-10-21 00:00:00;315;wwipl;;;
2024-11-28 00:00:00;300;wwipl;;;
2024-12-07 00:00:00;285;wwipl;;;
2024-12-08 00:00:00;280;wwipl;;;
2025-02-11 00:00:00;260;wwipl;;;
2025-02-16 00:00:00;255;wwipl;;;
2025-04-07 00:00:00;225;wwipl;;;
2025-04-08 00:00:00;220;wwipl;;;
2025-10-05 00:00:00;250;wwipl;;;
2025-10-06 00:00:00;260;wwipl;;;
2025-11-26 00:00:00;275;wwipl;;;
2025-11-27 00:00:00;295;wwipl;;;
2026-03-06 00:00:00;300;wwipl;;;
