Datetime;Price;Source;Tag;Note;Link
2023-11-16 00:00:00;70;wwipl;;;
2023-12-28 00:00:00;75;wwipl;;;
2023-12-29 00:00:00;77;wwipl;;;
2024-03-20 00:00:00;80;wwipl;;;
2024-04-16 00:00:00;85;wwipl;;;
2024-04-23 00:00:00;86;wwipl;;;
2024-04-30 00:00:00;88;wwipl;;;
2024-05-24 00:00:00;92;wwipl;;;
2024-05-25 00:00:00;91;wwipl;;;
2024-09-08 00:00:00;89;wwipl;;;
2024-10-17 00:00:00;95;wwipl;;;
2024-10-19 00:00:00;100;wwipl;;;
2024-10-20 00:00:00;110;wwipl;;;
2024-10-21 00:00:00;111;wwipl;;;
2024-11-30 00:00:00;110;wwipl;;;
2025-01-24 00:00:00;115;wwipl;;;
2025-02-07 00:00:00;117;wwipl;;;
2025-05-24 00:00:00;120;wwipl;;;
2025-08-14 00:00:00;125;wwipl;;;
2025-10-03 00:00:00;130;wwipl;;;
2025-11-13 00:00:00;132;wwipl;;;
2025-11-25 00:00:00;140;wwipl;;;
2026-01-21 00:00:00;145;wwipl;;;
2026-02-09 00:00:00;150;wwipl;;;
2026-02-16 00:00:00;155;wwipl;;;
2026-03-19 00:00:00;154;wwipl;;;
2026-03-20 00:00:00;153;wwipl;;;
