Datetime;Price;Source;Tag;Note;Link
2021-09-17 00:00:00;125;wwipl;;;
2022-12-16 00:00:00;126;wwipl;;;
2023-05-16 00:00:00;127.5;wwipl;;;
2023-05-31 00:00:00;135;wwipl;;;
2023-06-05 00:00:00;142.5;wwipl;;;
2023-06-13 00:00:00;153;wwipl;;;
2023-06-14 00:00:00;152.5;wwipl;;;
2023-07-27 00:00:00;162.5;wwipl;;;
2023-08-05 00:00:00;190;wwipl;;;
2023-08-10 00:00:00;187.5;wwipl;;;
2023-08-22 00:00:00;200;wwipl;;;
2023-08-23 00:00:00;212.5;wwipl;;;
2023-09-08 00:00:00;213;wwipl;;;
2023-11-10 00:00:00;207;wwipl;;;
2023-11-21 00:00:00;212.5;wwipl;;;
2023-12-08 00:00:00;220;wwipl;;;
2024-02-16 00:00:00;239;wwipl;;;
2024-02-17 00:00:00;245;wwipl;;;
2024-03-20 00:00:00;250;wwipl;;;
2024-03-29 00:00:00;255;wwipl;;;
2024-04-30 00:00:00;265;wwipl;;;
2024-05-03 00:00:00;280;wwipl;;;
2024-05-04 00:00:00;292.5;wwipl;;;
2024-05-05 00:00:00;300;wwipl;;;
2024-05-28 00:00:00;305;wwipl;;;
2024-08-23 00:00:00;325;wwipl;;;
2024-08-24 00:00:00;335;wwipl;;;
2024-08-31 00:00:00;340;wwipl;;;
2024-09-11 00:00:00;375;wwipl;;;
2024-09-12 00:00:00;400;wwipl;;;
2024-09-12 00:00:00;412.5;wwipl;;;
2024-09-12 00:00:00;429.5;wwipl;;;
2024-09-13 00:00:00;450;wwipl;;;
2024-09-14 00:00:00;475;wwipl;;;
2024-09-15 00:00:00;485;wwipl;;;
2024-10-08 00:00:00;487.5;wwipl;;;
2024-10-17 00:00:00;490;wwipl;;;
2024-10-31 00:00:00;480;wwipl;;;
2024-11-26 00:00:00;495;wwipl;;;
2024-11-28 00:00:00;525;wwipl;;;
2024-11-30 00:00:00;530;wwipl;;;
2024-12-13 00:00:00;545;wwipl;;;
2025-01-13 00:00:00;537.5;wwipl;;;
2025-01-17 00:00:00;545;wwipl;;;
2025-02-17 00:00:00;550;wwipl;;;
2025-06-20 00:00:00;600;wwipl;;;
2025-06-24 00:00:00;625;wwipl;;;
2025-07-24 00:00:00;700;wwipl;;;
2025-09-03 00:00:00;725;wwipl;;;
2025-09-13 00:00:00;750;wwipl;;;
2025-10-09 00:00:00;850;wwipl;;;
2025-10-12 00:00:00;950;wwipl;;;
2025-10-16 00:00:00;1000;wwipl;;;
2025-10-21 00:00:00;1025;wwipl;;;
2025-11-10 00:00:00;900;wwipl;;;
2025-11-15 00:00:00;950;wwipl;;;
2025-11-17 00:00:00;1000;wwipl;;;
2025-11-19 00:00:00;1050;wwipl;;;
2025-11-19 00:00:00;1100;wwipl;;;
2025-11-20 00:00:00;1150;wwipl;;;
2025-12-19 00:00:00;1135;wwipl;;;
2025-12-26 00:00:00;1090;wwipl;;;
2025-12-30 00:00:00;1040;wwipl;;;
2026-02-10 00:00:00;999;wwipl;;;
2026-02-14 00:00:00;970;wwipl;;;
2026-02-16 00:00:00;950;wwipl;;;
2026-02-17 00:00:00;930;wwipl;;;
2026-03-17 00:00:00;950;wwipl;;;
2026-03-25 00:00:00;970;wwipl;;;
2026-04-10 00:00:00;990;wwipl;;;
2026-04-14 00:00:00;1100;wwipl;;;
2026-04-15 00:00:00;1250;wwipl;;;
2026-04-16 00:00:00;1321;wwipl;;;
2026-04-17 00:00:00;1389;wwipl;;;
2026-04-23 00:00:00;1428;wwipl;;;
