Datetime;Price;Source;Tag;Note;Link
2024-08-05 00:00:00;700;wwipl;;;
2024-08-07 00:00:00;705;wwipl;;;
2024-09-26 00:00:00;700;wwipl;;;
2024-09-28 00:00:00;680;wwipl;;;
2024-10-01 00:00:00;610;wwipl;;;
2024-10-06 00:00:00;620;wwipl;;;
2024-10-21 00:00:00;610;wwipl;;;
2024-10-25 00:00:00;585;wwipl;;;
2024-11-04 00:00:00;575;wwipl;;;
2025-01-03 00:00:00;565;wwipl;;;
2025-02-01 00:00:00;560;wwipl;;;
2025-02-05 00:00:00;540;wwipl;;;
2025-02-18 00:00:00;510;wwipl;;;
2025-03-02 00:00:00;500;wwipl;;;
2025-03-19 00:00:00;470;wwipl;;;
2025-03-20 00:00:00;450;wwipl;;;
2025-04-09 00:00:00;440;wwipl;;;
2025-04-17 00:00:00;425;wwipl;;;
2025-04-23 00:00:00;415;wwipl;;;
2025-04-28 00:00:00;400;wwipl;;;
2025-04-29 00:00:00;390;wwipl;;;
2025-04-30 00:00:00;380;wwipl;;;
2025-05-01 00:00:00;370;wwipl;;;
2025-05-02 00:00:00;360;wwipl;;;
2025-06-17 00:00:00;350;wwipl;;;
2025-07-22 00:00:00;335;wwipl;;;
2025-08-13 00:00:00;300;wwipl;;;
2025-09-02 00:00:00;280;wwipl;;;
2025-10-01 00:00:00;270;wwipl;;;
2025-10-09 00:00:00;255;wwipl;;;
2025-10-27 00:00:00;260;wwipl;;;
2025-10-31 00:00:00;270;wwipl;;;
2025-11-08 00:00:00;280;wwipl;;;
2025-12-09 00:00:00;275;wwipl;;;
2025-12-31 00:00:00;270;wwipl;;;
2026-01-05 00:00:00;260;wwipl;;;
2026-01-06 00:00:00;255;wwipl;;;
2026-02-24 00:00:00;235;wwipl;;;
2026-02-27 00:00:00;226;wwipl;;;
2026-03-04 00:00:00;222;wwipl;;;
2026-03-09 00:00:00;215;wwipl;;;
2026-03-10 00:00:00;210;wwipl;;;
2026-03-12 00:00:00;207;wwipl;;;
2026-03-14 00:00:00;205;wwipl;;;
