Datetime;Price;Source;Tag;Note;Link
2021-12-27 00:00:00;1000;wwipl;;;
2021-12-30 00:00:00;1185;wwipl;;;
2022-01-01 00:00:00;1255;wwipl;;;
2022-01-03 00:00:00;1360;wwipl;;;
2022-01-04 00:00:00;1390;wwipl;;;
2022-01-04 00:00:00;1400;wwipl;;;
2022-04-14 00:00:00;1600;wwipl;;;
2022-04-18 00:00:00;1800;wwipl;;;
2022-04-19 00:00:00;1900;wwipl;;;
2022-04-20 00:00:00;1920;wwipl;;;
2024-07-18 00:00:00;2050;wwipl;;;
2024-07-20 00:00:00;2100;wwipl;;;
2024-09-11 00:00:00;2500;wwipl;;;
2024-09-12 00:00:00;2800;wwipl;;;
2024-09-13 00:00:00;3000;wwipl;;;
2024-09-14 00:00:00;3200;wwipl;;;
2024-09-15 00:00:00;3500;wwipl;;;
2024-09-16 00:00:00;3600;wwipl;;;
