Datetime;Price;Source;Tag;Note;Link
2019-05-31 00:00:00;350;wwipl;;;
2019-06-30 00:00:00;358.5;wwipl;;;
2019-09-02 00:00:00;345;wwipl;;;
2019-09-09 00:00:00;350;wwipl;;;
2019-09-15 00:00:00;352.5;wwipl;;;
2019-09-20 00:00:00;355;wwipl;;;
2019-09-27 00:00:00;351;wwipl;;;
2019-10-03 00:00:00;354.5;wwipl;;;
2019-10-09 00:00:00;355.5;wwipl;;;
2019-10-18 00:00:00;360;wwipl;;;
2019-10-25 00:00:00;357.5;wwipl;;;
2019-11-01 00:00:00;359;wwipl;;;
2019-11-09 00:00:00;361;wwipl;;;
2019-11-10 00:00:00;362.5;wwipl;;;
2019-11-18 00:00:00;365;wwipl;;;
2019-11-25 00:00:00;370;wwipl;;;
2019-11-26 00:00:00;367.5;wwipl;;;
2019-11-27 00:00:00;372.5;wwipl;;;
2019-11-28 00:00:00;377.5;wwipl;;;
2019-11-29 00:00:00;380;wwipl;;;
2019-12-11 00:00:00;375;wwipl;;;
2019-12-25 00:00:00;370;wwipl;;;
2020-01-21 00:00:00;367.5;wwipl;;;
2020-02-04 00:00:00;365;wwipl;;;
2020-02-12 00:00:00;360;wwipl;;;
2020-02-22 00:00:00;355;wwipl;;;
2020-02-27 00:00:00;350;wwipl;;;
2020-03-02 00:00:00;344.5;wwipl;;;
2020-03-03 00:00:00;345;wwipl;;;
2020-03-05 00:00:00;337.5;wwipl;;;
2020-03-06 00:00:00;345;wwipl;;;
2020-03-07 00:00:00;340;wwipl;;;
2020-03-16 00:00:00;335;wwipl;;;
2020-03-26 00:00:00;330;wwipl;;;
2020-04-09 00:00:00;325;wwipl;;;
2020-04-27 00:00:00;320;wwipl;;;
2020-05-02 00:00:00;310;wwipl;;;
2020-05-10 00:00:00;305;wwipl;;;
2020-05-15 00:00:00;300;wwipl;;;
2020-05-20 00:00:00;290;wwipl;;;
2020-05-24 00:00:00;285;wwipl;;;
2020-05-25 00:00:00;282.5;wwipl;;;
2020-05-26 00:00:00;280;wwipl;;;
2020-05-30 00:00:00;287.5;wwipl;;;
2020-06-05 00:00:00;295;wwipl;;;
2020-06-12 00:00:00;300;wwipl;;;
2020-06-14 00:00:00;317.5;wwipl;;;
2020-06-15 00:00:00;322.5;wwipl;;;
2020-06-19 00:00:00;337.5;wwipl;;;
2020-06-20 00:00:00;350;wwipl;;;
2020-06-22 00:00:00;355;wwipl;;;
2020-06-23 00:00:00;360;wwipl;;;
2020-06-24 00:00:00;365;wwipl;;;
2020-06-25 00:00:00;370;wwipl;;;
2020-06-26 00:00:00;375;wwipl;;;
2020-07-08 00:00:00;365;wwipl;;;
2020-07-16 00:00:00;370;wwipl;;;
2020-07-20 00:00:00;360;wwipl;;;
2020-07-23 00:00:00;362.5;wwipl;;;
2020-08-09 00:00:00;370;wwipl;;;
2020-08-13 00:00:00;385;wwipl;;;
