Datetime;Price;Source;Tag;Note;Link
2022-08-16 00:00:00;2520;wwipl;;;
2023-03-06 00:00:00;2500;wwipl;;;
2023-06-01 00:00:00;3500;wwipl;;;
2023-06-02 00:00:00;4000;wwipl;;;
2023-06-07 00:00:00;4100;wwipl;;;
2023-07-13 00:00:00;1000;wwipl;;;
2023-07-14 00:00:00;1010;wwipl;;;
2023-08-29 00:00:00;1100;wwipl;;;
2023-09-02 00:00:00;1300;wwipl;;;
2023-09-04 00:00:00;1313;wwipl;;;
2023-12-11 00:00:00;1500;wwipl;;;
2023-12-15 00:00:00;1600;wwipl;;;
2023-12-16 00:00:00;1620;wwipl;;;
2024-01-16 00:00:00;1700;wwipl;;;
2024-01-19 00:00:00;1800;wwipl;;;
2024-01-20 00:00:00;1900;wwipl;;;
2024-01-29 00:00:00;1950;wwipl;;;
2024-04-19 00:00:00;2100;wwipl;;;
2024-04-20 00:00:00;2200;wwipl;;;
2024-04-23 00:00:00;2240;wwipl;;;
2024-06-14 00:00:00;2300;wwipl;;;
2024-07-21 00:00:00;2500;wwipl;;;
2024-07-23 00:00:00;2550;wwipl;;;
2024-10-31 00:00:00;2750;wwipl;;;
2024-11-01 00:00:00;2850;wwipl;;;
2024-11-02 00:00:00;2950;wwipl;;;
2024-11-03 00:00:00;3200;wwipl;;;
2024-11-04 00:00:00;3500;wwipl;;;
2024-11-06 00:00:00;3600;wwipl;;;
2024-11-07 00:00:00;3700;wwipl;;;
2024-11-07 00:00:00;3900;wwipl;;;
2024-11-08 00:00:00;4000;wwipl;;;
2024-11-16 00:00:00;4100;wwipl;;;
2024-11-18 00:00:00;4200;wwipl;;;
2024-12-03 00:00:00;4300;wwipl;;;
2025-01-10 00:00:00;4600;wwipl;;;
2025-01-11 00:00:00;5000;wwipl;;;
2025-01-15 00:00:00;5500;wwipl;;;
2025-01-16 00:00:00;5700;wwipl;;;
2025-01-19 00:00:00;5800;wwipl;;;
2025-02-18 00:00:00;6000;wwipl;;;
2025-03-19 00:00:00;5900;wwipl;;;
2025-04-22 00:00:00;5880;wwipl;;;
2025-04-29 00:00:00;5700;wwipl;;;
2025-05-02 00:00:00;5650;wwipl;;;
2025-05-07 00:00:00;5600;wwipl;;;
2025-11-12 00:00:00;5500;wwipl;;;
2025-12-16 00:00:00;5350;wwipl;;;
2025-12-22 00:00:00;5300;wwipl;;;
2025-12-23 00:00:00;5200;wwipl;;;
2025-12-31 00:00:00;5250;wwipl;;;
2026-01-02 00:00:00;5200;wwipl;;;
2026-03-04 00:00:00;5150;wwipl;;;
2026-03-11 00:00:00;5100;wwipl;;;
2026-03-14 00:00:00;5050;wwipl;;;
