Datetime;Price;Source;Tag;Note;Link
2022-08-25 00:00:00;1;wwipl;;;
2023-01-16 00:00:00;0.5;wwipl;;;
2023-01-16 00:00:00;0.1;wwipl;;;
2023-01-17 00:00:00;0.101;wwipl;;;
2023-02-16 00:00:00;0.1;wwipl;;;
2023-07-24 00:00:00;10;wwipl;;;
2023-07-25 00:00:00;11;wwipl;;;
2023-07-26 00:00:00;12;wwipl;;;
2023-07-27 00:00:00;13;wwipl;;;
2023-07-31 00:00:00;14;wwipl;;;
2023-08-03 00:00:00;16;wwipl;;;
2023-08-04 00:00:00;17;wwipl;;;
2023-08-05 00:00:00;18;wwipl;;;
2023-08-17 00:00:00;19;wwipl;;;
2023-08-21 00:00:00;20;wwipl;;;
2023-09-08 00:00:00;20.05;wwipl;;;
2025-05-10 00:00:00;20;wwipl;;;
