Datetime;Price;Source;Tag;Note;Link
2022-03-11 00:00:00;16;wwipl;;;
2022-04-14 00:00:00;12;wwipl;;;
2022-04-19 00:00:00;11.5;wwipl;;;
2022-04-20 00:00:00;11.55;wwipl;;;
2022-08-12 00:00:00;11;wwipl;;;
2022-12-13 00:00:00;10.99;wwipl;;;
2023-01-16 00:00:00;10;wwipl;;;
2023-01-17 00:00:00;0.01;wwipl;;;
2023-01-19 00:00:00;9;wwipl;;;
2023-01-20 00:00:00;9.01;wwipl;;;
2023-08-23 00:00:00;9;wwipl;;;
2024-04-30 00:00:00;12;wwipl;;;
2024-05-01 00:00:00;14;wwipl;;;
2024-05-02 00:00:00;15;wwipl;;;
2024-05-04 00:00:00;19;wwipl;;;
2024-05-05 00:00:00;19.2;wwipl;;;
2025-06-12 00:00:00;18.5;wwipl;;;
2025-11-02 00:00:00;19;wwipl;;;
2025-12-29 00:00:00;20;wwipl;;;
